stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,63.09,7.89,0,0,36.8,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,72.38,6.29,0,0,25.18,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,1,1,0,1,2,4,0,0,0,0
 24-34,0,0,0,0.82,2.46,0,0,0,0,0,0,0,0,0,0,32.01,0,0,0,0,0,0,0,0,8.21,0,0,0,0.82
 36-46,0,0,0,0,5.64,0,0,0,0.81,0,0,0,3.22,0,0,31.42,0,0,0,0,0,0,0,0,6.45,0,1.61,0,0.81
 48-58,0,0,0,0,8.03,0.57,0,0.57,5.74,0,0,0,4.02,0,0,11.48,0,0.57,0,0,0,0,0,0,2.87,0,0,0,0
 60-70,0,0,0.98,0,1.96,0,0,0,1.96,0,0,0.98,3.93,0.98,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0.98,0,0,0,9.82,0,0,0.98,6.87,0.98,0.98,7.85,0,0,0,0,0,0,0,0,0,0.98,0,0,1.96
 84-94,0,0,0,1.06,7.43,0,1.06,0,3.19,0,0,0,5.31,0,1.06,4.25,1.06,0,1.06,0,0,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,1.09,1.09,4.37,0,0,0,7.65,0,0,0,7.65,0,0,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0,1.09
108-118,0,0,1.53,2.3,0,0,0,0.77,3.83,0.77,0,0,3.83,0,0,4.6,0,0.77,0.77,0,0,0,0,0,0,0,0,0.77,1.53
120,0,0,0,0,3.92,0,0,0,9.8,1.96,0,0,5.88,0,1.96,3.92,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96
