stage,blastomeres,epidermis,eye,glial,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,18.4,2.63,0,0,2.63,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,9,0,0,0,1,0,2,0,0
 24-34,0,0.82,1.64,0.82,0,0,0.82,0.82,5.75,0,0,0,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,9.67,0,0,0.81,0,0.81,0.81,0.81,0
 48-58,0,0.57,1.72,0,0,0,0.57,0.57,9.18,0,0.57,0,0,0,1.72,0,0
 60-70,0,1.96,0.98,0.98,0,0,0,0,7.85,0.98,0,0.98,0,0,2.94,0,0
 72-82,0,0,0.98,0.98,0.98,0,0.98,0,7.85,0,0,0,0,0,0,0,0
 84-94,0,0,2.12,2.12,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,2.19,0,0,0,2.19,0,4.37,0,1.09,0,0,0,0,1.09,1.09
108-118,0,0.77,0.77,2.3,0,0,0.77,0,2.3,0,0,0,0,0.77,0,0.77,0
120,0,0,0,1.96,0,1.96,1.96,0,3.92,0,0,0,0,0,0,0,0
