stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,68.35,0,2.63,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,97.26,15.77,0,0,60.46,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,9.44,0,25.18,0,3.15,0,25.18,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,396.52,15.73,0,0,44.06,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,1,2,9,1,0,27,0,0,0,17,0,0,0,0,0,1,0,2,3,10,0,0,0,473,4,1,35,1,0,2,0,2,168,0,0,0,0,2
 24-34,0,0,0,0.82,2.46,0.82,0,50.89,0,0,0,25.45,0,0,0.82,0,1.64,0,0,1.64,4.93,16.42,0,0,1.64,894.73,0,14.78,32.01,0,0,0,0.82,0,247.08,0,0,1.64,0,4.1
 36-46,0,0,0,0,0,0,0,188.53,0,0,0.81,138.58,0,0,0,0,0,3.22,0,0,4.03,20.95,0,0,4.83,1191.58,0.81,23.36,18.53,0,1.61,0,0.81,0,398,0,0,0,0,5.64
 48-58,0,0,0,0,0,0,0,223.78,0,0,0,297.23,0.57,1.72,0,0,0,4.59,0,0.57,1.72,39.02,0,0.57,0.57,459.62,0,14.92,13.2,0,0,0,0,0,269.11,0,0,0,0,3.44
 60-70,0,0,0,0,2.94,0,0,672.34,0,0,0,381.81,0,0.98,1.96,0.98,0,6.87,0,0,1.96,36.32,0,0,0,317.03,0,22.58,8.83,0,0,0,0,0,147.23,0,0,0,0,3.93
 72-82,0,0,0.98,0,4.91,0,0,891.35,0,0,0.98,515.37,0,0.98,0,0.98,0.98,4.91,0,0.98,0,44.17,0,0,2.94,252.29,0,44.17,27.49,0,0.98,0,0,0,55.95,0.98,0,0.98,0,1.96
 84-94,0,0,0,0,6.37,2.12,4.25,846.44,1.06,1.06,0,329.23,0,0,1.06,0,0,6.37,0,0,2.12,27.61,1.06,3.19,0,175.24,0,35.05,28.68,0,1.06,0,1.06,0,57.35,1.06,0,0,0,1.06
 96-106,0,0,1.09,0,18.58,1.09,1.09,830.56,0,2.19,1.09,352.99,2.19,0,0,0,0,4.37,0,1.09,1.09,32.79,0,0,2.19,169.39,0,56.83,30.6,0,4.37,0,0,0,30.6,3.28,1.09,2.19,2.19,0
108-118,0,0,0.77,0,5.36,3.83,12.26,631.92,0,0.77,1.53,320.94,0.77,0,0,0.77,0.77,9.96,0.77,3.06,0,22.21,0,1.53,3.06,163.92,2.3,39.83,27.57,0,0.77,0,0.77,0,19.92,1.53,0,2.3,0,0
120,0,0,0,0,9.8,3.92,7.84,544.82,0,3.92,1.96,233.21,1.96,0,0,0,1.96,9.8,1.96,0,0,7.84,1.96,0,1.96,127.39,1.96,25.48,13.72,0,1.96,0,0,0,11.76,1.96,0,0,0,0
