stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 24-34,1.64,0,0,0,0,0,0,0,0.82,0,0,1.64,0.82,1.64,0,0,0,0,0,0,0,0,0
 36-46,0,0,4.03,0,0,0,0,0,11.28,0,0,0.81,4.03,2.42,0,0,0,0,1.61,0,0,1.61,0
 48-58,0,0,45.9,0,0.57,0,0,0,9.75,0,0,5.16,11.48,0.57,0,0,0,0,5.16,0,0,1.15,0
 60-70,0,0,213.97,0,0,0,0,0,15.7,0,0,8.83,15.7,0,0,0,0,0,4.91,0,0,0,0
 72-82,1.96,0.98,160.99,0,1.96,0,0,0,27.49,0,0.98,3.93,3.93,0,0,0,0,0,2.94,0.98,0,0.98,1.96
 84-94,14.87,0,166.74,1.06,0,0,0,1.06,21.24,1.06,2.12,3.19,11.68,0,0,0,1.06,0,1.06,0,0,1.06,3.19
 96-106,5.46,0,108.19,0,1.09,0,0,0,30.6,0,1.09,2.19,2.19,0,0,1.09,0,1.09,1.09,0,1.09,1.09,2.19
108-118,11.49,0,94.21,0,1.53,0.77,0.77,0,22.98,0,2.3,0.77,5.36,0,0,0.77,0,0,0.77,1.53,0,0.77,3.06
120,5.88,0,66.63,0,1.96,0,0,0,9.8,0,1.96,0,7.84,0,1.96,0,0,0,1.96,0,0,0,1.96
