stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,21,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,5.75,15.6,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,21.34,0,0,0,0,0,4.93,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0
 36-46,0,1.61,3.22,0,0,0,1.61,0,0,0,0.81,16.11,0,0,0,0,0,0.81,32.23,0,0.81,0,0,0,9.67,0,0.81,0.81,0,0,0,0.81,0,0.81,0,0,0,0,0
 48-58,0,2.3,0.57,0.57,0,0,4.02,0,0,0,0.57,34.43,0,0,0,0,0,0,28.69,0,1.72,0,0,0,15.49,0,0,0,0,0.57,0,3.44,0,0.57,0,0,0,0,0
 60-70,0,12.76,0,0,0,0.98,13.74,0,0,0,0.98,91.28,0,0,0,0,0,0,47.11,0,4.91,0,0,0,31.41,0.98,0.98,0,0,0.98,0,1.96,0,3.93,0,0.98,0,0.98,1.96
 72-82,0,49.08,2.94,2.94,3.93,31.41,28.47,0,0,1.96,9.82,248.36,0,0,0,1.96,0.98,0,39.27,0.98,23.56,0,0,2.94,160.01,0,0,0.98,0.98,6.87,0,1.96,0,3.93,0.98,0,3.93,1.96,2.94
 84-94,0,54.16,10.62,6.37,2.12,91.34,26.55,0,1.06,1.06,6.37,459.86,0,0,3.19,0,0,2.12,116.82,2.12,16.99,0,2.12,3.19,96.65,0,2.12,0,1.06,9.56,0,5.31,0,6.37,1.06,1.06,3.19,0,0
 96-106,1.09,60.11,17.49,26.23,27.32,114.75,120.21,9.84,4.37,0,32.79,656.8,0,1.09,10.93,5.46,3.28,3.28,295.07,0,74.31,2.19,3.28,7.65,337.69,2.19,7.65,3.28,1.09,63.39,1.09,5.46,0,6.56,5.46,3.28,15.3,4.37,12.02
108-118,0,42.89,20.68,26.81,9.19,143.24,61.28,3.06,5.36,1.53,28.34,713.88,0,1.53,8.43,3.06,1.53,3.83,235.92,2.3,69.7,2.3,3.06,9.96,278.04,0.77,3.83,3.06,0.77,32.17,0,4.6,0,2.3,3.06,2.3,11.49,6.13,4.6
120,1.96,37.24,7.84,15.68,17.64,43.12,41.16,0,1.96,0,23.52,562.46,0,0,7.84,0,0,1.96,184.22,0,37.24,1.96,1.96,5.88,231.25,0,3.92,1.96,1.96,13.72,0,3.92,0,7.84,1.96,1.96,1.96,0,1.96
