stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,7,0,0,4,7,0,0,0,0,0,3,0,1,0
 24-34,0,2.46,0,0.82,0,0,18.06,1.64,0,0,22.98,0,0,12.31,27.91,0,0.82,0.82,0,0.82,4.93,0,0,0
 36-46,0,0,0,0.81,0,0,26.59,0.81,0,0,26.59,0,0,5.64,40.28,0,0,0.81,0,0,1.61,0,0,0
 48-58,0.57,0,0,2.3,0,0,22.38,0,0.57,0,30.99,0.57,0,5.16,23.53,1.15,0,1.72,0,0,1.15,0,0,0
 60-70,0,0.98,0,0,0,0,11.78,0,0,0,49.08,0,0.98,5.89,7.85,0,0,3.93,0,0,2.94,0,0,0
 72-82,0,0,0.98,2.94,0,2.94,15.71,0.98,0,0.98,93.26,0,3.93,7.85,20.61,0,0,6.87,0,0,0.98,0,1.96,0
 84-94,0,0,0,3.19,0,3.19,9.56,0,0,0,69.03,0,1.06,3.19,6.37,0,0,2.12,0,0,1.06,0,5.31,0
 96-106,0,1.09,0,9.84,0,4.37,4.37,6.56,0,0,67.76,0,3.28,7.65,15.3,0,0,12.02,0,0,0,3.28,8.74,2.19
108-118,0,0.77,0,2.3,0.77,0.77,3.06,0,0.77,0,63.57,0,0,0.77,12.26,0,0.77,3.83,0,0,2.3,1.53,2.3,0
120,0,1.96,0,1.96,0,0,9.8,1.96,0,0,47.03,0,3.92,0,21.56,0,1.96,7.84,0,0,0,0,9.8,0
