stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,26.29,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,1,1,1,0,0,0,0,0,2,22,1,1,1,2,3,3,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0.82,0,16.42,0,0,0,0,0,2.46,0
 36-46,0,0,0,0,0,2.42,1.61,0,0,4.03,0.81,15.31,0,0,0,0,0,4.03,0.81
 48-58,0,0,0,0.57,0,2.3,1.15,0,0,2.3,0,8.61,0,0,0.57,0,0,3.44,0
 60-70,0,0,0,0.98,0,9.82,0.98,0.98,0,0.98,0,8.83,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,0,0.98,2.94,0,1.96,5.89,0.98,8.83,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,2.12,1.06,0,0,1.06,0,2.12,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,2.19,0,0,2.19,0,1.09,0,0,1.09,0,0,0,1.09
108-118,0,0,0,0,0,0.77,1.53,0.77,0,0,0,1.53,0,0,0,0,0,0.77,1.53
120,0,0,0,0,0,0,3.92,0,0,1.96,1.96,3.92,0,0,0,0,0,0,0
