stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,199.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.09,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,116.44,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,135.32,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1,0,0,0,1,0,1,26,0,0,0,0
 24-34,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0.82,3.28,0,0,2.46,272.52,0,13.13,0,0,0.82,0,0,0,75.52,0,0,0.82,0
 36-46,0,0,0,0,0,0,10.47,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,619.56,0,10.47,0,0,0.81,0,0,0,148.24,0,0,0.81,0.81
 48-58,0,0,0,0.57,0,0,60.82,0.57,0,4.59,0,0,0,0,0,0,0,0,5.16,0.57,0,1.72,858.41,0.57,4.59,0,0,1.72,0,0,0,146.32,0,0,0.57,1.15
 60-70,0,0,0,0.98,0,0,123.67,0,0.98,6.87,0,0,0.98,0.98,0,0,0,0.98,9.82,0,0.98,0.98,1313.28,0.98,6.87,0,0,2.94,0,0,0,151.15,0,0,0,0.98
 72-82,0,0,0,3.93,1.96,0,166.88,0,2.94,12.76,0,0,0,0,0.98,0.98,0.98,0,19.63,0,0,0,982.64,0,8.83,1.96,0,0,0,0,0,112.89,0.98,0,1.96,1.96
 84-94,0,0,0,2.12,0,0,100.89,1.06,1.06,13.81,0,0,0,1.06,0,1.06,0,0,6.37,0,1.06,0,460.92,1.06,5.31,0,0,4.25,0,0,0,71.16,0,1.06,0,0
 96-106,0,2.19,0,5.46,4.37,0,61.2,1.09,0,5.46,1.09,0,0,3.28,0,1.09,0,0,10.93,0,0,0,354.08,1.09,10.93,1.09,0,1.09,0,0,0,25.14,0,0,0,2.19
108-118,0,0,0,8.43,0,0.77,58.21,0,0,6.89,0,0,0,0,0,0,0,0,10.72,0.77,0,1.53,348.51,0,6.13,0,0,1.53,0,0,0,17.62,0,0,0.77,0
120,0,0,0,7.84,1.96,0,52.91,0,0,13.72,0,0,0,3.92,0,1.96,1.96,0,9.8,0,0,0,397.84,0,11.76,3.92,0,3.92,0,1.96,0,17.64,0,0,0,0
