stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,2029.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,5069.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.69,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,0,118.29,21.03,0,0,0,189.27,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,6011.87,10.51,0,0,481.05,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.76,22.03,0,0,0,40.91,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,3515.16,6.29,0,0,213.99,0,12.59,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,2621,6,0,19,0,7,0,0,0,3,0,0,22,0,7,0,13,4,16,0,2,94,2,1,25,2,0,359,5,2,0,9,16,0,0,3,0,1
 24-34,0,0,0,1089.28,2.46,0,21.34,0,45.15,7.39,6.57,1.64,0.82,0.82,1.64,28.73,0.82,35.3,0,31.19,29.55,42.68,0,7.39,259.39,1.64,1.64,5.75,0,0,915.25,0,0.82,0.82,3.28,22.98,0,0,10.67,0,7.39
 36-46,0,0,0,390.75,0.81,0,187.72,0,56.4,23.36,16.92,0.81,0,0,0,6.45,0.81,21.75,0.81,33.03,31.42,30.62,0,5.64,206.25,0,1.61,1.61,0,0,841.92,0,0,0,0,16.92,0,0,0.81,0,4.83
 48-58,0,0,0,302.97,1.15,0,476.83,0,78.04,33.28,24.67,0.57,0.57,0.57,0,4.59,0.57,18.36,0,22.38,38.44,29.26,1.72,4.59,187.06,2.87,1.72,3.44,0,0,622,0,0,0.57,0,23.53,0,0,2.3,0,11.48
 60-70,0,0,0,286.6,0,0,659.58,0,71.65,41.22,19.63,0.98,0.98,0,0,7.85,0,14.72,0,8.83,66.74,27.48,0.98,1.96,139.38,0.98,1.96,0.98,0,0,542.78,0,0.98,0,0,17.67,1.96,0.98,0,0,8.83
 72-82,0,0,0,337.69,2.94,0,499.67,0,58.9,43.19,27.49,1.96,0,0,0,5.89,0,16.69,0.98,8.83,70.68,26.5,0,5.89,109.95,0,1.96,1.96,0,0.98,482,0,0,0.98,0,10.8,4.91,1.96,3.93,0,11.78
 84-94,0,0,0,602.18,3.19,0,301.62,0,149.75,35.05,28.68,7.43,0,0,3.19,22.3,3.19,9.56,0,31.86,52.04,31.86,3.19,4.25,93.46,1.06,1.06,0,0,0,1393.39,0,2.12,0,0,6.37,11.68,0,1.06,0,6.37
 96-106,0,0,0,662.27,7.65,0,266.65,0,114.75,20.76,20.76,10.93,0,1.09,5.46,20.76,1.09,12.02,3.28,21.86,62.29,50.27,0,1.09,103.82,0,3.28,1.09,0,1.09,1157.32,0,0,0,0,2.19,5.46,2.19,5.46,0,9.84
108-118,0,0,0,619.66,1.53,0.77,209.87,0.77,157.02,19.92,22.21,12.26,0,0.77,6.13,22.21,0,9.96,0,32.94,39.06,34.47,0,2.3,61.28,0.77,0,0,0,0,973.54,0,0,0.77,0,1.53,17.62,0.77,2.3,1.53,16.09
120,0,0,0,482.11,5.88,3.92,162.66,0,127.39,19.6,27.44,5.88,0,0,1.96,15.68,0,9.8,1.96,11.76,37.24,27.44,0,1.96,74.47,0,3.92,0,0,0,699.64,0,0,0,0,1.96,1.96,1.96,0,0,3.92
