stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,52.71,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,429.07,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,2.63,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,152.47,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.58,6.29,0,0,47.2,0,0,3.15,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,1,13,4,4,0,0,0,28,0,0,0,1,0,0,0,0,9,0,1,60,1,0,14,3,0,0,1,8,37,1,10,115,0,0,0
 24-34,0,0,0,0.82,4.93,0,6.57,0,0,0,33.66,0,0,0,0,0,2.46,0,0,5.75,0,0,61.56,0.82,10.67,4.1,0,0,0.82,0,0,12.31,0,4.1,77.98,0,0,0
 36-46,0,0,0,0,0.81,0,18.53,0,0,0,23.36,0,0,0,0,0,0,0,0,4.83,0,0.81,75.73,0,18.53,0,0,0,0.81,0,0,8.06,0,0,43.51,0,0,0.81
 48-58,0,0,0,0,0.57,0,24.1,0.57,0,0,26.4,0.57,0,0,0,0,1.72,0,0,6.89,0.57,0.57,61.4,0,12.05,2.3,0,0,0.57,0,0,2.87,0,0,45.9,0,0,0
 60-70,0,0,0,0,0,0,31.41,0,0.98,0,28.46,0.98,0,0,1.96,0.98,2.94,0,0,8.83,0,2.94,39.26,0.98,12.76,0.98,0,0.98,0.98,0,0,1.96,0,0,26.5,0,0,0
 72-82,0,0,1.96,0,3.93,0,13.74,0,0,0.98,26.5,3.93,0,0,0,0,4.91,0,0,3.93,0,0,11.78,0.98,19.63,8.83,0,0,0,0,0,1.96,0,0,13.74,0,0,0
 84-94,0,0,0,1.06,2.12,0,3.19,0,0,0,15.93,2.12,0,1.06,1.06,1.06,4.25,0,0,1.06,0,2.12,14.87,1.06,9.56,9.56,0,0,0,0,0,5.31,0,0,9.56,1.06,0,0
 96-106,0,0,0,0,1.09,1.09,4.37,0,0,0,12.02,1.09,0,2.19,0,1.09,9.84,0,0,4.37,0,0,7.65,0,18.58,19.67,0,0,0,0,0,0,0,0,6.56,0,0,0
108-118,0,0,0,0,2.3,0.77,4.6,0,0.77,0,9.19,1.53,0,3.06,0,0.77,5.36,0,0.77,2.3,0,0,6.13,0,13.79,8.43,0,0,0.77,0,0,4.6,0,0,6.89,0,0.77,0
120,0,0,0,0,3.92,1.96,9.8,0,0,0,5.88,0,0,0,1.96,1.96,5.88,1.96,0,0,0,1.96,9.8,0,13.72,5.88,0,0,0,0,0,3.92,0,0,1.96,0,0,0
