stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1502.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,18.39,422.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,4.1,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,4.93,62.39,0,0,1.64,0,0,0,1.64,0.82,3.28,10.67,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,11.28,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0.81,4.03,0,0.81,147.44,0.81,0,0.81,0,0,0,0,0,0,9.67,0,0,1.61,0,0
 48-58,0,0,0,1.15,0,0,67.71,1.15,0,0,3.44,0,0,0,0.57,0.57,1.72,1.15,0,0,4.02,0,1.72,251.9,0,0.57,2.3,0,0,0,0.57,0,0,20.08,0,0,1.72,0,0
 60-70,0,0,0,4.91,0.98,0,420.09,2.94,0,0.98,21.59,0.98,0,0,0,1.96,0,1.96,0,0,9.82,0,3.93,657.62,0,0,2.94,0,0,0.98,0.98,0.98,0,47.11,0,0,0,0,0
 72-82,0,0,0.98,6.87,0,0,763.73,4.91,0,1.96,43.19,0,0,0,0,1.96,0.98,4.91,1.96,0,32.39,0.98,3.93,853.06,0,1.96,11.78,0,0,0,2.94,1.96,0,47.12,0.98,1.96,4.91,1.96,1.96
 84-94,0,0,0,8.5,2.12,0,459.86,0,0,0,37.17,3.19,0,0,3.19,3.19,2.12,2.12,0,0,26.55,0,2.12,448.18,0,1.06,13.81,0,0,3.19,1.06,1.06,0,24.43,0,1.06,2.12,2.12,0
 96-106,0,0,2.19,9.84,2.19,1.09,451.35,0,0,0,32.79,3.28,0,1.09,4.37,2.19,2.19,0,1.09,1.09,36.06,1.09,3.28,399.98,1.09,4.37,17.49,0,0,5.46,0,2.19,0,22.95,0,0,3.28,1.09,2.19
108-118,0,0,1.53,4.6,3.06,0.77,312.51,0.77,0.77,1.53,28.34,2.3,0,1.53,0.77,0.77,0,2.3,1.53,0.77,29.11,0.77,1.53,415.92,0.77,1.53,8.43,0,0.77,1.53,0.77,1.53,0,16.09,2.3,0.77,0.77,0.77,0
120,0,0,0,9.8,5.88,0,235.17,0,1.96,1.96,33.32,3.92,0,0,7.84,1.96,0,3.92,0,0,25.48,9.8,1.96,584.02,0,0,5.88,0,0,0,1.96,0,0,13.72,0,0,1.96,0,0
