stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0.82,0,0.82,0.82,0,0,0,0.82,0,0.82,0,4.1,0.82,9.85,0.82,0,0,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,16.11,0.81,15.31,0,0,0,0,1.61,0.81,6.45,0,0,0,0
 48-58,0,0,0,0,4.02,0,0,0,0,0,0,0,0,12.62,0.57,17.79,0,0,0,0,0.57,0,2.3,0,0,0,0
 60-70,0,0,0,0,34.35,0.98,0,0,0,0,0,0,0,7.85,0,47.11,0,0.98,0.98,0,1.96,0,2.94,0,0,0,0.98
 72-82,0,0,1.96,0,137.43,0,1.96,1.96,0,0,0,0,0,8.83,0,72.64,0,0,0.98,0,0.98,0,1.96,0.98,0.98,0,0
 84-94,0,0,2.12,0,80.71,0,1.06,7.43,0,0,1.06,0,0,4.25,0,40.36,0,0,0,0,1.06,0,3.19,0,0,0,0
 96-106,0,0,1.09,1.09,91.8,1.09,0,6.56,0,0,0,0,1.09,3.28,0,63.39,0,0,0,0,1.09,1.09,3.28,0,0,1.09,1.09
108-118,0,0,0.77,0,83.49,0,0,6.13,0.77,0,0,0,0,2.3,0.77,72,0,0.77,0,0.77,0,0,3.83,0,0,0,0
120,0,1.96,0,0,72.51,0,0,3.92,3.92,0,0,0,0,1.96,1.96,76.43,0,0,0,0,1.96,0,0,0,1.96,0,0
