stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,2.46,0,0,0,0,0.82,0,0,0,0.82,0,0.82,0,0,3.28,0,1.64,3.28,0
 36-46,0.81,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,2.42,0,1.61,1.61,0
 48-58,0.57,0,0,0,0,0,0.57,0,0,3.44,0,0.57,0,0,2.3,0,0,2.3,0
 60-70,2.94,0,0.98,0,0.98,0,1.96,0,0,0,0,0,0,0,6.87,0.98,0,3.93,0
 72-82,0.98,0.98,0,0,0,0.98,0,0,0,3.93,0,0,0,0,4.91,0,0,1.96,0.98
 84-94,2.12,0,0,3.19,0,0,1.06,0,0,1.06,0,0,0,0,7.43,0,0,2.12,1.06
 96-106,3.28,0,0,0,0,1.09,1.09,0,0,0,1.09,2.19,0,0,12.02,0,1.09,2.19,0
108-118,0.77,0,2.3,0,0,0,3.06,0.77,0.77,1.53,0,0.77,0,0.77,4.6,0,0,0.77,0
120,7.84,0,3.92,3.92,0,0,5.88,0,0,0,0,1.96,0,0,13.72,0,0,0,0
