stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,302,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.64,1.64,0,3.28,0,0.82,0.82,0.82,0,0,0,0.82,3.28,0,0,0,3.28,10.67,0,3.28,45.97,0,0,0,0,640.27,0,0,0,8.21,0,0,0.82,0,0
 36-46,0,0.81,0,1.61,0,0,6.45,0,0.81,0,0.81,0,0,0,0,1.61,0,0,0,2.42,27.39,0.81,1.61,36.26,2.42,0.81,0,0,685.62,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,0,0,12.05,0,7.46,1.15,1.72,1.72,1.72,0,0,1.72,0,0,0,4.59,26.97,0,2.87,28.69,0,0.57,0,0,686.27,0,0,0,5.16,0,0,0.57,0,0
 60-70,0,1.96,0,0.98,0,0,9.82,0,10.8,0,1.96,12.76,0.98,0,0,0.98,0,1.96,0,7.85,24.54,0,0,25.52,0,0,0,0,769.51,0,0,0,4.91,0,0.98,0,0,0.98
 72-82,0,27.49,0,6.87,0.98,0,26.5,0,21.6,0,9.82,75.59,0,0,0,11.78,0,12.76,0.98,11.78,66.75,0,3.93,59.88,0,0.98,2.94,0,1140.69,0,0,0,3.93,2.94,1.96,1.96,0.98,0
 84-94,0,15.93,5.31,11.68,3.19,0,4.25,0,73.28,1.06,3.19,133.82,0,0,2.12,36.11,0,12.74,5.31,12.74,66.91,0,1.06,31.86,0,0,1.06,0,3304,0,0,1.06,0,14.87,1.06,2.12,0,0
 96-106,0,29.51,8.74,27.32,2.19,0,25.14,0,63.39,0,10.93,233.87,0,2.19,7.65,34.97,2.19,36.06,6.56,13.11,97.26,0,2.19,80.87,0,1.09,2.19,0,2630.48,0,0,0,3.28,36.06,1.09,4.37,3.28,5.46
108-118,0,13.02,12.26,32.94,3.06,1.53,12.26,0.77,95.75,0.77,6.13,265.02,0,1.53,2.3,42.13,0.77,21.45,13.02,14.55,70.47,2.3,0.77,77.36,0,0,0,0,2564.44,0,1.53,0,3.06,51.32,3.06,0.77,0,0
120,0,25.48,7.84,29.4,3.92,1.96,5.88,0,33.32,0,3.92,205.78,0,0,1.96,11.76,0,7.84,3.92,9.8,37.24,0,1.96,39.2,1.96,0,3.92,0,979.89,0,0,0,1.96,11.76,0,3.92,1.96,0
