stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,pericytes,periderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
 24-34,0,2.46,0,0,0,0,0,0,10.67,0,5.75,1.64,0,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,0.81,0,24.17,0,3.22,0,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,1.15,0.57,0,0,25.82,0.57,2.3,1.72,0,0,0,0,0,0.57
 60-70,0,0,1.96,0,1.96,0,0,0.98,57.91,0,4.91,1.96,0,0,0,1.96,0,0
 72-82,0,0,4.91,0,2.94,0,0,0,108.96,1.96,5.89,2.94,0,0.98,0,2.94,1.96,0
 84-94,0,1.06,2.12,0,3.19,1.06,0,0,55.23,2.12,3.19,1.06,0,0,0,1.06,1.06,0
 96-106,0,0,1.09,0,0,0,1.09,0,34.97,2.19,1.09,0,0,0,0,0,2.19,0
108-118,0,0,4.6,0.77,2.3,0,0,0,48.26,3.06,2.3,2.3,0.77,0,0,0,1.53,0
120,0,1.96,0,0,1.96,0,1.96,1.96,94.07,1.96,0,1.96,0,0,0,1.96,3.92,0
