stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,hatching_gland,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1,0,1,0,0,1,0,0,0,0,0,0,2,5,0,0,1,0,1,0,0,1,0
 24-34,0.82,0,2.46,0,0,0,0,0,0.82,0,1.64,0,1.64,9.03,0.82,0,0,0,0,2.46,0,0,0
 36-46,0.81,0,0.81,0.81,0,0,0,0,0.81,0.81,2.42,0,1.61,16.92,0,0,0,0,0,1.61,0,0,0
 48-58,0,0.57,0,0,0,0,0,0.57,0,0,2.87,0,0.57,9.75,0,0,0.57,0,0,1.15,0,0,0
 60-70,0,0,3.93,0.98,0,2.94,0.98,0,0,0,0.98,0,0,16.69,0,0,0.98,0,0,1.96,0,0,0
 72-82,0,0,4.91,0,0,2.94,0,0,0.98,0,1.96,0.98,1.96,16.69,0,0.98,1.96,0,0,0,0.98,0,0.98
 84-94,1.06,0,2.12,1.06,1.06,1.06,0,0,0,0,1.06,0,1.06,2.12,0,0,0,0,0,1.06,0,1.06,0
 96-106,1.09,0,5.46,1.09,0,1.09,0,0,0,0,2.19,1.09,0,4.37,0,1.09,0,0,0,0,1.09,0,0
108-118,0,0,2.3,0.77,0,0,0,0,0,0,1.53,0,0,9.19,0,1.53,0,0,0,0,0,0,0.77
120,0,0,1.96,0,0,3.92,0,0,0,0,0,0,1.96,9.8,0,0,0,1.96,0,0,1.96,0,0
