stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,342.63,3992.91,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0
  5-6,147.11,1924.71,0,0,0,0,0,12.26,0,0,55.17,0,0,18.39,49.04,0,0,0,0,0
  7-9,15.77,21.03,15.77,0,0,31.54,0,13.14,0,0,357.5,13.14,0,120.92,0,13.14,0,0,0,0
 10-12,0,3.15,6.29,0,0,22.03,0,3.15,0,0,81.82,3.15,0,56.65,3.15,3.15,0,3.15,0,0
 14-21,0,0,0,5,2,1,1,0,1,3,13,0,0,1,0,0,6,0,3,7
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0
