stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,spinal.cord,taste,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0.82,1.64,0.82,8.21,0,0,4.1,1.64,0,0
 36-46,0,0,0.81,0,0,0,0.81,0,0,0,1.61,0,27.39,0,0.81,2.42,6.45,0,0
 48-58,0,0,6.31,0.57,0.57,0.57,4.02,0,1.72,0,6.89,1.15,37.3,0.57,0,4.02,2.3,0,0
 60-70,0,0,22.58,0,0,0,3.93,0.98,0.98,0,16.69,0.98,87.36,0,0,13.74,7.85,0.98,0.98
 72-82,0,0,14.72,0,0,0.98,0,0,1.96,0,5.89,0,22.58,0,0,37.3,0,0,0
 84-94,0,0,6.37,0,0,0,1.06,0,2.12,1.06,5.31,1.06,9.56,1.06,0,42.48,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,7.65,2.19,2.19,0,2.19,0,0,59.01,1.09,0,0
108-118,0,0,3.06,0,0,0.77,0.77,0,5.36,0,0.77,0,6.13,0,0.77,39.83,0,0,0
120,1.96,1.96,1.96,0,0,0,1.96,0,1.96,0,0,0,7.84,0,0,33.32,0,0,0
