stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,90,82,0,27,0,0,0,2,0,0,0,2,1,0,0,7,153,0,0,63,118,0,0,5,1,0,4,1,1,8,7,27,0,0,14,0,8
 24-34,0,0,0.82,2.46,22.16,2.46,0,74.7,0,0.82,1.64,4.93,0,8.21,0,6.57,1.64,0,0,8.21,348.04,3.28,0,135.44,147.75,1.64,1.64,6.57,0,1.64,0.82,0.82,0.82,9.85,7.39,32.83,0,0,47.61,0,24.63
 36-46,0,0,1.61,0,8.06,0,0,41.09,0,0,8.06,1.61,0,16.92,0,4.03,0,1.61,0,3.22,398,0,4.83,115.21,91.85,1.61,0,13.7,0,0,0,0,0.81,8.86,0,18.53,0,0.81,27.39,0,16.11
 48-58,0.57,0,0,0,4.59,0,0,42.46,0,1.72,20.08,9.18,0,8.03,0,0,4.02,0.57,0,9.75,538.8,1.15,7.46,100.42,78.04,0.57,0.57,7.46,0,1.72,1.15,0,0,2.87,0,18.94,0,2.87,28.12,0.57,18.36
 60-70,0,0,0.98,0,6.87,0.98,0,38.28,0.98,3.93,11.78,20.61,1.96,7.85,0.98,0,5.89,3.93,0.98,2.94,695.9,0,12.76,54.97,65.76,1.96,0,5.89,0,14.72,2.94,0,0.98,0.98,0,7.85,0,14.72,35.33,6.87,17.67
 72-82,0,0,0.98,0,11.78,0.98,0,86.39,0.98,3.93,39.27,49.08,3.93,12.76,0,1.96,2.94,9.82,0.98,17.67,1124,5.89,34.36,70.68,102.09,0.98,2.94,21.6,0,15.71,0,0,0,0.98,0,7.85,0,30.43,98.17,26.5,33.38
 84-94,0,0,0,0,23.36,2.12,0,114.7,2.12,3.19,20.18,30.8,3.19,10.62,0,7.43,20.18,3.19,1.06,23.36,676.52,4.25,32.92,32.92,55.23,3.19,1.06,25.49,0,10.62,3.19,0,0,2.12,0,8.5,0,21.24,66.91,13.81,22.3
 96-106,0,0,0,0,32.79,5.46,2.19,85.24,5.46,5.46,19.67,55.74,4.37,15.3,5.46,12.02,18.58,13.11,3.28,13.11,656.8,8.74,38.25,37.16,98.36,1.09,2.19,21.86,0,27.32,8.74,0,4.37,1.09,0,5.46,0,16.39,100.54,30.6,17.49
108-118,0,0,0,0,18.38,1.53,0,67.4,6.89,3.83,19.15,49.79,0.77,6.13,4.6,6.89,32.94,6.13,3.06,17.62,631.15,2.3,27.57,32.17,78.13,6.89,3.06,29.87,0,22.98,1.53,0,2.3,3.06,0,3.83,0.77,19.92,91.92,22.21,27.57
120,0,0,0,0,33.32,3.92,0,37.24,3.92,11.76,23.52,31.36,3.92,15.68,0,7.84,21.56,11.76,5.88,9.8,503.66,3.92,23.52,19.6,82.31,3.92,0,27.44,1.96,29.4,3.92,0,0,1.96,0,5.88,0,25.48,94.07,19.6,3.92
