stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,540.3,1568.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,1158.5,2660.26,24.52,0,0,0,0,98.07,0,0,0,0,0,269.7,67.43,171.63,42.91,0,0,0,0,0,0
  7-9,567.8,10.51,57.83,0,0,47.32,0,743.93,0,0,0,0,0,323.33,441.62,707.12,2.63,2.63,0,0,0,0,0
 10-12,6.29,6.29,15.73,0,3.15,88.12,0,132.17,0,0,0,0,0,217.14,72.38,81.82,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,3,0,0,5,6,15,4,3,0,0,4,1,3,0,0
 24-34,0,0,0,0,0,0.82,0,0,0.82,0,0,0.82,1.64,20.52,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2,0,0,0.81,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,0.57,0,21.8,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,2.94,0.98,0,0,1.96,0,0,0,39.26,0,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,0,0.98,10.8,0,0,0,0.98,0,0.98,0,52.03,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,5.31,1.06,0,0,0,1.06,3.19,0,22.3,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,3.28,1.09,0,0,2.19,0,0,0,18.58,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0,0,2.3,0,0,0,1.53,0,0.77,0,26.81,0,0,0.77,0,0,0,0.77,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,37.24,0,0,0,0,0,0,1.96,0,0
