stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,39.43,2.63,0,0,23.66,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,28.32,0,0,28.32,0,0,0
 14-21,0,0,0,2,1,12,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,1,0,2,4,0
 24-34,0,0,0.82,0,1.64,9.85,3.28,0,0,0,0,0,0,0,0,0,3.28,0,23.8,0,0,0,0,1.64,0,0,1.64,6.57,0
 36-46,0,0,0,0,0,3.22,2.42,0,0,0,0.81,0,0,0,0,0,3.22,0,29,0,0.81,0,0,1.61,0,0,0,11.28,0
 48-58,0,0,0,0,0,0,4.59,0,0.57,0,1.15,0,0,0,0,0,6.31,0,12.62,0,0,0,0,0.57,0,0,0,4.59,0
 60-70,0,0,0.98,0,0,0.98,7.85,0,0,0,0.98,0,0,0.98,0,0,3.93,0,17.67,0.98,0,0,0,0.98,0,0,0,2.94,0
 72-82,0,0,0,0,0.98,0,4.91,0.98,0.98,0.98,0,0.98,0,0,0,0,4.91,1.96,16.69,0,0.98,0,0,0.98,0,0,0,1.96,1.96
 84-94,0,0,1.06,0,1.06,1.06,5.31,0,1.06,0,1.06,0,0,0,0,1.06,3.19,0,9.56,1.06,0,0,0,4.25,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,3.28,0,0,0,2.19,0,0,0,0,0,8.74,0,7.65,0,0,0,0,2.19,0,0,0,1.09,0
108-118,0,0,0,0,0,0,2.3,0,0.77,0.77,0.77,0,0,0.77,0.77,0,3.83,0,4.6,0,0,0,0,0.77,0,0,0,0.77,0
120,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,5.88,0,11.76,0,0,1.96,0,0,0,0,0,0,0
