stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,slow_muscle,somites,spinal_cord,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,8,0,0,0,0,1,0,0,0,1,0,1,6,0,4,0,0,1,4,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,4.93,0,0,0,7.39,1.64,13.95,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,3.22,0,0,0,8.06,0.81,4.83,0,0,0,1.61,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0.57,0,5.16,0,0,0,4.02,0,8.61,0,0.57,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,11.78,0.98,0,0,3.93,0,23.56,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,0,17.67,2.94,0,0.98,8.83,0.98,41.23,0,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,1.06,0,1.06,0,0,0,20.18,1.06,0,0,2.12,0,37.17,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,0,1.09,0,0,0,0,34.97,1.09,1.09,0,3.28,0,53.55,0,0,0,0,0
108-118,0,0,0,0,0.77,1.53,0,0,0,0,0.77,0.77,26.81,1.53,0.77,0,4.6,0,45.96,0,0,0,0,0
120,0,0,1.96,0,1.96,0,0,1.96,0,0,1.96,0,25.48,3.92,0,1.96,3.92,0,48.99,0,0,0,0,0
