stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,68.35,0,0,0,0,0,0,0,0,0,73.6,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,66.09,0,0,0,0,0,0,0,0,0,226.58,3.15,0,12.59,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,4,0,0,0,0,1,0,0,0,0,38,1,0,0,0,0,0,9,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,37.76,0,0.82,0,0,0,0,21.34,0,0.82,0,0
 36-46,0,0,0,0,0.81,1.61,0,0,0,0,0,0,0,0,75.73,0,1.61,0,0,0,0,16.11,0,0,0.81,0
 48-58,0,0,0,0,7.46,1.15,0,0,0,0,0,0.57,3.44,0,72.87,0,0,0,0,0,0,16.64,0,0.57,0,0.57
 60-70,0,0,0,0.98,39.26,0.98,0,0,0,0,0,0,3.93,0,224.77,0,0,0,0.98,0,0,18.65,0,0.98,0,0
 72-82,0,0,0.98,0,65.77,6.87,0,0,0.98,0,0,0,10.8,0.98,218.91,0,0,0,0,0,0,5.89,0,0,0.98,1.96
 84-94,0,0,3.19,0,43.54,3.19,0,1.06,0,0,0,0,7.43,1.06,121.07,0,0,0,0,0,0,7.43,0,6.37,0,0
 96-106,0,0,2.19,0,38.25,4.37,1.09,0,2.19,0,0,0,10.93,0,126.77,0,0,0,0,2.19,0,4.37,1.09,0,0,1.09
108-118,0,0,2.3,0,54.38,1.53,0.77,0,3.06,0,1.53,0,6.13,0,135.58,0,0,0,0,0,0,3.83,0,2.3,1.53,0
120,0,0,0,0,41.16,1.96,0,0,3.92,0,1.96,0,3.92,0,127.39,0,0,0,0,0,0,1.96,1.96,0,0,0
