stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,pronephros,spinal.cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 24-34,0,0,2.46,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,4.1,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0.81,0,1.61,0,5.64,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,0.57,0,21.23,0,0,0,0,1.15,0,1.72,0.57
 60-70,0,0,0,0,0,0.98,4.91,0,0,0.98,0,50.06,2.94,0,3.93,0.98,2.94,0,2.94,0.98
 72-82,0,0,0,0,0,1.96,10.8,0.98,0,1.96,0,56.94,1.96,0,0,3.93,7.85,0,0.98,0
 84-94,0,0,0,0,1.06,2.12,13.81,0,0,0,0,77.53,0,1.06,1.06,1.06,3.19,0,4.25,0
 96-106,0,0,0,1.09,0,2.19,25.14,0,2.19,0,0,76.5,2.19,0,0,2.19,8.74,0,6.56,1.09
108-118,0,0,0,0,0,0,13.79,0,0,0,0.77,101.87,0,0,1.53,1.53,2.3,0,2.3,1.53
120,0,0,0,1.96,0,0,13.72,0,0,1.96,0,47.03,0,0,3.92,1.96,11.76,0,1.96,0
