stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,47.32,2.63,0,10.51,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,15.73,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,3,16,0,1,0,0,1,0,1,4,1,0
 24-34,0,0,0,0,0.82,0,3.28,0,0,0,0,0,0,0,0,1.64,0,3.28,14.78,0,0,0,0.82,0,0,1.64,4.93,0,0
 36-46,0,0,0,0,0,0,4.83,0,0,1.61,0,0,0,0,0,6.45,0,0,15.31,0,0,0,1.61,0,0,0,5.64,0,0
 48-58,0,0,0,0,0,0,4.02,0,0.57,1.72,0,0,0,0,0,2.3,0,0,6.89,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,3.93,0,0,2.94,0,0,0,0,0,4.91,0,0,5.89,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,0,1.96,0,0,1.96,0,0,0.98,0,0,6.87,0,1.96,8.83,0,0,0,0.98,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,1.06,0,4.25,0,2.12,1.06,0,0,0,0,1.06,1.06,1.06,1.06,6.37,0,0,0,1.06,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,2.19,1.09,0,3.28,0,0,1.09,0,0,2.19,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0.77,3.06,1.53,0,0,0,0,3.06,0,0.77,5.36,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,5.88,0,0,1.96,0,0,0,0,0,0,0,0,0,0
