stage,endocrine.pancreas,epidermis,eye,glial,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pronephros,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0
 14-21,0,1,0,0,1,0,0,1,2,0,0,0,2,0,6,0
 24-34,0,0,0,0,0,0,2.46,2.46,4.93,2.46,0,0,0.82,0.82,6.57,0.82
 36-46,0,0,0,0.81,0,0,1.61,0,4.83,7.25,0,0,0,0,3.22,0
 48-58,0,0,0,0,0,0,0.57,0.57,2.3,4.59,0.57,0,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,0,2.94,6.87,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,0,1.96,0,1.96,13.74,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.19,8.5,0,0,1.06,0,0,0
 96-106,1.09,0,0,0,0,0,1.09,0,0,14.21,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0.77,0.77,0,0,7.66,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,1.96,11.76,0,0,0,0,0,0
