stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0,0,0,7,5,41,0,0,0,0,0
 24-34,0,0,2.46,0.82,0,1.64,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0.82,0,0,0,355.43,0,9.85,0,0,0,0,0,0,119.84,0,0,0,0,0
 36-46,0,0,0,0.81,0,25.78,0,0,0,2.42,0,0,0,0,0,0,0,0.81,1.61,0,0.81,1.61,1413.95,0,24.17,0.81,0,0.81,0,0,0,240.9,0,0,0,0,0.81
 48-58,0,0,1.15,0,0,150.91,0,1.15,1.15,17.21,0,0,0,0.57,0,0.57,0,0,15.49,0.57,0,2.3,2018.65,0.57,24.67,0,0,2.3,0,0,0,346.58,0,0,1.15,0,3.44
 60-70,0,0.98,7.85,0,0,589.89,0,0,0.98,31.41,0,1.96,0,0,0,0.98,0.98,0.98,16.69,0,2.94,2.94,3125.17,0,24.54,1.96,0,2.94,0,0,0,423.04,0,0,1.96,0,4.91
 72-82,0,0,18.65,6.87,0,1070.01,0,1.96,4.91,88.35,1.96,1.96,1.96,0.98,2.94,0.98,1.96,0,51.05,0.98,3.93,2.94,2591.59,0,48.1,2.94,0,6.87,0.98,0,0,262.1,0.98,1.96,3.93,0.98,10.8
 84-94,0,1.06,20.18,5.31,1.06,619.17,1.06,1.06,1.06,58.41,1.06,1.06,3.19,0,5.31,0,0,0,31.86,1.06,1.06,4.25,1299.93,1.06,33.99,1.06,0,8.5,0,0,0,128.51,0,2.12,2.12,0,1.06
 96-106,0,0,17.49,2.19,1.09,680.84,0,4.37,3.28,83.06,1.09,1.09,2.19,0,1.09,1.09,0,0,37.16,2.19,1.09,3.28,1068.8,0,73.22,2.19,1.09,6.56,0,0,0,59.01,0,0,3.28,1.09,1.09
108-118,0,0,19.15,1.53,0.77,454.98,0.77,0.77,0,65.11,0.77,0,2.3,0,0.77,0,0.77,0,17.62,0,1.53,3.06,1447.67,0,45.96,1.53,0,3.83,0,0.77,0,48.26,1.53,0.77,0.77,0.77,0
120,0,0,17.64,0,0,293.97,1.96,0,0,58.79,0,0,0,0,0,0,0,0,19.6,1.96,0,5.88,1301.3,1.96,33.32,5.88,1.96,1.96,0,1.96,0,37.24,0,0,1.96,0,0
