stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,57,1,0,0,1,0,0,3,1,0,0,0,0,0,0,13,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0
 24-34,0,2.46,56.64,0,1.64,0,12.31,0,4.1,1.64,0,0,0,0,0,0,0,46.79,0,0,4.1,11.49,0,0.82,0,0,0,9.03,2.46,0,1.64,0,0,2.46,0,0
 36-46,0,0,22.56,0,1.61,0,6.45,0,6.45,0,0,0,0,0,0,0,0.81,110.38,0.81,1.61,10.47,8.86,0,0.81,0.81,0,0,4.83,0.81,0,2.42,0,0,2.42,0,0
 48-58,0,0,15.49,0,3.44,0,16.64,4.59,23.53,0,1.72,0,0,0,0,0,0.57,280.59,0,0,13.77,12.62,0,1.72,2.87,0,0,1.15,0.57,0.57,10.33,0,1.72,0.57,0,0
 60-70,0,0,25.52,0,7.85,0,11.78,4.91,87.36,0,0,0,0,0,0,0,0,516.28,0.98,0.98,11.78,18.65,0,0,0.98,0,1.96,0,0,0,5.89,0,5.89,0,0.98,0.98
 72-82,0,0,32.39,0.98,20.61,0,10.8,7.85,104.06,0,0,0,0,0.98,0,0,0,737.23,1.96,2.94,21.6,19.63,0,0,4.91,0,4.91,0.98,0,0,2.94,0,6.87,4.91,4.91,0
 84-94,1.06,0,72.22,0,43.54,0,19.12,10.62,62.66,0,0,1.06,1.06,0,1.06,0,0,484.29,0,1.06,9.56,10.62,2.12,1.06,3.19,0,1.06,1.06,1.06,0,1.06,0,6.37,2.12,3.19,0
 96-106,0,0,48.09,4.37,31.69,1.09,6.56,2.19,61.2,0,0,1.09,0,0,0,2.19,0,497.25,2.19,2.19,6.56,29.51,0,0,3.28,0,3.28,1.09,1.09,0,3.28,0,7.65,4.37,0,0
108-118,0,0,62.04,0,7.66,0,10.72,0.77,42.13,0.77,0.77,0.77,0.77,0,0,0,0,394.47,0,0,9.19,26.81,0,0,2.3,0,3.06,0.77,0,0,1.53,0.77,4.6,0.77,0.77,0
120,0,0,45.08,0,9.8,0,9.8,0,21.56,0,0,1.96,0,0,0,0,0,270.45,0,0,1.96,21.56,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,3.92,0
