stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,gut,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
 24-34,0,0,0,0.82,0,0,0,0,1.64,0,0,0,0,0,3.28,0,0,0.82,0,4.93,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,2.42,0,0,0,0,12.89,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0.57,0,5.16,0,0,0.57,0,13.77,0
 60-70,0,0.98,0,0,0,0,0,0,5.89,0,0,0.98,4.91,0.98,6.87,0,0,0,0,26.5,1.96
 72-82,0,2.94,0,0,0.98,0,0.98,7.85,1.96,0,0,1.96,2.94,0,5.89,0.98,1.96,1.96,3.93,44.17,7.85
 84-94,0,2.12,0,0,0,0,1.06,18.05,0,0,2.12,0,2.12,0,5.31,0,0,0,2.12,30.8,7.43
 96-106,0,2.19,0,0,0,0,0,16.39,2.19,0,0,4.37,2.19,0,5.46,2.19,1.09,0,2.19,38.25,2.19
108-118,0,0.77,0,0,0,0,2.3,46.72,0.77,0.77,1.53,1.53,0,0,7.66,0.77,0.77,0,0,32.94,2.3
120,0,1.96,1.96,0,0,1.96,3.92,121.51,5.88,0,13.72,5.88,1.96,0,29.4,1.96,1.96,0,0,60.75,3.92
