stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593.01,0,0,0,0,0,0,0,0
  5-6,24.52,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,2.63,0,21.03,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,7,0,0,0,0,0,483,1,0,0,4,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,4.93,0,0.82,0,1.64,0,0,0,0,3.28,0.82,0.82,0.82,4.1,5.75,0,1.64,36.12,0.82,2.46,2.46,0,0,745.34,0,1.64,0,8.21,0,0,0,0
 36-46,0,0,0,0,0,0,2.42,0,1.61,0,0,0,0,0,0,0.81,1.61,0,0.81,2.42,6.45,0,1.61,26.59,0,2.42,2.42,0,0,628.42,0,0.81,0,5.64,0,0,0,0
 48-58,0,0,0,0,2.87,0,6.89,0,2.87,0,2.3,0,0,0.57,0,1.15,0,0,0,3.44,1.72,0,0,24.1,0,1.72,0,0,0,393.06,0,0.57,0,4.02,0,0.57,0,0.57
 60-70,0,0,0,0,8.83,0,4.91,0,4.91,0.98,1.96,0,0,0,0,3.93,0,0.98,0,3.93,2.94,0,0.98,17.67,0,3.93,0,0,0,372.98,0,0,0,1.96,0,0,0,0
 72-82,0,0,2.94,0,17.67,0,3.93,0,3.93,0,3.93,1.96,0,0,2.94,5.89,0,0,0,2.94,1.96,0,1.96,14.72,0,1.96,0,0,0,514.39,0,0.98,0,2.94,0.98,0.98,0,0
 84-94,0,0,4.25,0,26.55,0,4.25,0,11.68,0,1.06,1.06,0,0,0,12.74,0,2.12,0,1.06,7.43,0,0,10.62,0,9.56,0,0,0,1172.49,0,0,1.06,2.12,4.25,1.06,0,0
 96-106,0,0,1.09,0,74.31,0,12.02,0,28.41,1.09,2.19,8.74,0,0,2.19,18.58,0,2.19,0,6.56,13.11,0,0,27.32,0,7.65,1.09,0,2.19,1078.64,0,0,0,0,7.65,1.09,0,2.19
108-118,0,0,0.77,1.53,75.06,0.77,8.43,0.77,49.02,0,2.3,6.13,0,0.77,3.83,31.4,0.77,2.3,0,3.83,19.92,0.77,0,16.09,0,6.13,0.77,0,0,1195.67,0,0.77,0,0.77,11.49,0,0.77,0.77
120,0,0,0,0,66.63,1.96,1.96,0,21.56,0,0,5.88,0,0,5.88,7.84,0,1.96,0,3.92,7.84,0,0,5.88,1.96,3.92,0,0,0,560.5,0,0,0,0,0,0,0,0
