stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,5,19,0,0,0,0,2,0,0,10,22,0,0,0
 24-34,0,0,0.82,0,7.39,0.82,0,0,0,4.93,11.49,0,0,0,0,0,0,0,0,0,0,13.95,0,0,14.78,27.91,155.14,0,0,0,0.82,0,2.46,0,4.93,18.06,0,0.82,0
 36-46,0,0,0.81,0,11.28,0,0,5.64,0.81,6.45,45.12,1.61,0,0,1.61,0,0,0,0,0,0.81,72.51,0,0,23.36,21.75,149.05,0,0,0,0,0,2.42,0,0.81,13.7,0,2.42,0
 48-58,0.57,0,1.15,0.57,18.36,0,0,6.89,0,6.31,66.56,4.59,0,0.57,4.02,0,0,0,0,0.57,0,177.88,0,0,25.25,25.82,101.56,0,0,0,0,0,1.15,0,0,9.75,0,7.46,0
 60-70,0,0,0,0,33.37,0,0,11.78,0,9.82,105.02,5.89,0.98,0,8.83,0,0.98,0,0,0,0.98,384.76,0,3.93,27.48,20.61,72.63,0,0,0,0,0,2.94,0,0,4.91,6.87,2.94,1.96
 72-82,0,0,0,0,60.86,1.96,0,53.01,0,21.6,169.83,8.83,0.98,0,11.78,0,0.98,0,0,1.96,0,806.93,0.98,7.85,57.92,40.25,71.66,0.98,1.96,1.96,0,0,2.94,0.98,0,3.93,18.65,6.87,17.67
 84-94,0,0,2.12,0,127.44,0,0,52.04,0,31.86,108.33,3.19,2.12,0,10.62,0,0,2.12,1.06,0,0,550.14,0,11.68,43.54,15.93,97.71,0,1.06,4.25,3.19,0,12.74,0,0,5.31,16.99,10.62,16.99
 96-106,0,0,1.09,1.09,120.21,0,0,34.97,0,27.32,92.89,8.74,4.37,0,16.39,3.28,2.19,1.09,0,2.19,0,704.89,1.09,17.49,33.88,44.81,80.87,0,1.09,1.09,1.09,0,4.37,0,0,1.09,17.49,7.65,12.02
108-118,0,0,0,0,75.06,0.77,0.77,19.15,0,38.3,81.19,3.06,4.6,0,7.66,0.77,3.06,2.3,0.77,0,0,688.6,0,6.89,37.53,32.17,73.53,0.77,2.3,2.3,0,0,4.6,0,0,0.77,14.55,6.13,7.66
120,0,0,0,0,48.99,0,0,9.8,0,15.68,58.79,0,3.92,0,3.92,3.92,1.96,1.96,0,0,0,335.12,1.96,9.8,17.64,27.44,80.35,0,0,3.92,0,0,7.84,0,0,0,3.92,5.88,11.76
