stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,2,1,0,0,0
 24-34,0,0,0.82,0,0,0,8.21,0,0,0.82,0,0,0,0,0,0,0,3.28,0,0,6.57,16.42,0,0,0,1.64,0,35.3,11.49,3.28,0,0,0
 36-46,0,0,0.81,0,0,1.61,16.11,0,0,0,0,1.61,0,0,0,0,0,1.61,0,0,7.25,13.7,0,0,0.81,1.61,0,44.31,0.81,3.22,0,0.81,0
 48-58,0,0,1.15,0,0,3.44,14.92,0,0,1.15,0,0,0,0,0,0,0,1.72,0,0,2.87,20.08,1.15,0,0.57,1.72,0,44.76,0,6.31,0,0,0.57
 60-70,0,0,0.98,0,0,5.89,13.74,0,0,2.94,0,0,0,0,0,0,0,3.93,0,0,3.93,12.76,0.98,1.96,0,1.96,0,31.41,0,0.98,0,0,0
 72-82,0,0,0,0.98,0,4.91,7.85,0,0,3.93,0,0,0.98,0,1.96,0,0,2.94,0,0,0.98,17.67,0,0.98,0.98,1.96,0,28.47,0,2.94,0,0.98,0
 84-94,0,0,1.06,0,0,7.43,11.68,0,0,2.12,0,0,0,0,1.06,0,0,5.31,1.06,0,2.12,10.62,2.12,1.06,0,2.12,0,42.48,0,1.06,0,0,0
 96-106,0,1.09,3.28,1.09,0,7.65,22.95,0,2.19,6.56,1.09,0,0,0,1.09,2.19,0,7.65,1.09,1.09,7.65,17.49,1.09,1.09,1.09,4.37,1.09,30.6,0,0,0,1.09,1.09
108-118,0,0,0.77,0.77,0.77,1.53,17.62,0.77,0,0.77,0.77,0,0,0.77,0.77,0,0.77,1.53,0,0,6.13,10.72,0,1.53,0,1.53,0,17.62,0,0.77,0.77,0,0.77
120,0,0,1.96,0,0,1.96,15.68,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,5.88,1.96,0,0,0,0,7.84,0,0,0,0,0
