stage,blastomeres,epidermis,eye,glial,gut,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,1,0,0,17,1,0,1,0,0,7,1,0
 24-34,0,0,0,0.82,0,0,0.82,0,1.64,0.82,22.98,0.82,0.82,0,1.64,0.82,4.93,0,0
 36-46,0,0,4.83,0,0,0,0,0,1.61,0,8.86,0,0,0,0,0,4.03,0.81,0
 48-58,0,0,4.59,0.57,0,0,0,0,1.15,0,5.16,0,0,0,0,0,1.15,0,0
 60-70,0,0.98,5.89,0,0,0,0,0,2.94,0.98,5.89,0,0,0,0,0,0.98,0,0
 72-82,0,0.98,2.94,0,0,0.98,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0,0.98
 84-94,0,0,4.25,0,0,0,0,0,1.06,1.06,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,2.19,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0.77,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0
