stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,22.03,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,209,4,0,0,0,1,0,0,0,0,0,0,0,18,0,5,0,0,1,26,3,0,1,2,0,7,6,0,0,5,15,0,0,0,0,0
 24-34,0,0,0,0.82,4.93,804.44,3.28,0,0.82,0,4.1,0,0.82,0,0.82,2.46,0,0,10.67,0,12.31,0,0,4.93,110.82,0.82,1.64,4.93,0,0,10.67,0,0.82,0.82,0.82,19.7,0,0,0.82,0,0.82
 36-46,0,0,0,0,1.61,575.25,29,0,2.42,0,4.83,0,0,0.81,0,0.81,0,0,4.83,0,4.83,0.81,0,3.22,84.6,2.42,2.42,2.42,0,0,7.25,0,0,0,0,17.72,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,904.32,43.04,0.57,0,0,10.33,0,0,0,0.57,0.57,0,0.57,0.57,0.57,13.2,0.57,0,3.44,83.78,0,1.15,5.16,0,0,6.31,0,0.57,0.57,0,12.62,0,0,2.87,0,1.15
 60-70,0,0,0,0,1.96,989.37,66.74,0,1.96,0,18.65,0,0,0,3.93,3.93,1.96,0.98,0.98,0.98,36.32,0,0,0.98,113.86,0.98,1.96,6.87,0,0,4.91,0,1.96,0,0,16.69,0,0.98,0.98,0,2.94
 72-82,0,0,0,0,3.93,960.07,54.97,1.96,0,1.96,18.65,0.98,0,0.98,0.98,5.89,0,3.93,0,0,19.63,0.98,0,3.93,79.51,0,0,21.6,0,0,5.89,0,0,0,0,6.87,0,0,4.91,0,0
 84-94,0,0,1.06,0,8.5,789.09,36.11,3.19,1.06,0,7.43,1.06,0,0,4.25,19.12,2.12,2.12,0,0,12.74,1.06,0,2.12,39.3,0,2.12,26.55,0,0,10.62,0,1.06,0,0,5.31,2.12,0,6.37,4.25,2.12
 96-106,0,0,2.19,0,2.19,848.05,25.14,1.09,2.19,0,12.02,1.09,0,0,4.37,12.02,1.09,4.37,2.19,1.09,12.02,0,0,3.28,37.16,0,2.19,38.25,0,0,6.56,0,2.19,0,0,1.09,1.09,2.19,5.46,1.09,1.09
108-118,0,0,0.77,0,7.66,570.64,19.15,3.83,1.53,0,9.96,0.77,0,1.53,3.06,20.68,1.53,5.36,3.83,0,11.49,0.77,0.77,0.77,44.43,0.77,0.77,19.92,0,0.77,12.26,0,0,0,0,0.77,0,0,4.6,0,0
120,0,0,0,0,3.92,578.14,9.8,3.92,3.92,0,1.96,1.96,0,0,1.96,15.68,1.96,5.88,1.96,0,3.92,1.96,0,1.96,39.2,0,1.96,19.6,0,0,5.88,0,0,0,0,0,0,0,3.92,0,0
