stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,20,2,0,1,0,0,1,0,0
 24-34,0,0,1.64,0.82,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0,8.21,0,0,5.75,16.42,0.82,1.64,0.82,0,79.62,13.95,0.82,1.64,0,0,0,0,0
 36-46,0,0,1.61,0,0,1.61,1.61,0.81,5.64,0,0,0,0,0,0.81,0,1.61,24.17,0,1.61,5.64,16.92,0,0.81,1.61,0,60.43,3.22,0,2.42,0,0.81,0,0,0
 48-58,0,0.57,0.57,0,0,6.31,2.3,0,12.62,0,1.15,0,0,1.15,0,0,0,52.79,0.57,13.2,6.89,22.38,0,0,0,0.57,39.59,5.74,0,2.87,0,1.72,0.57,0,0.57
 60-70,0,0,0.98,0,0,21.59,0.98,0,34.35,0,0,0,0,15.7,0.98,0,0.98,78.52,0,31.41,6.87,26.5,0,1.96,0.98,3.93,53,4.91,0,1.96,0.98,7.85,3.93,8.83,1.96
 72-82,0,1.96,5.89,1.96,0,27.49,0.98,1.96,45.16,0,5.89,0,0,17.67,0,0.98,0,103.07,0,37.3,3.93,24.54,0.98,0,0,4.91,31.41,4.91,0,2.94,0.98,12.76,5.89,33.38,0.98
 84-94,0,0,7.43,1.06,0,12.74,8.5,1.06,26.55,0,2.12,0,0,5.31,0,0,1.06,70.09,1.06,28.68,6.37,13.81,0,4.25,0,5.31,111.51,8.5,1.06,0,2.12,6.37,2.12,26.55,0
 96-106,0,0,15.3,0,0,22.95,8.74,0,31.69,0,5.46,1.09,0,2.19,1.09,1.09,1.09,91.8,1.09,27.32,5.46,22.95,0,3.28,0,15.3,87.43,14.21,0,1.09,8.74,13.11,7.65,49.18,0
108-118,0,0.77,12.26,0,0.77,16.09,5.36,3.06,29.87,1.53,2.3,0.77,0,6.13,0.77,0.77,0.77,85.02,0,22.21,5.36,19.15,0,3.06,0.77,13.02,63.57,12.26,0,0.77,13.02,8.43,6.13,19.92,1.53
120,0,0,23.52,0,0,7.84,7.84,1.96,23.52,0,0,0,1.96,1.96,0,1.96,0,48.99,3.92,13.72,11.76,15.68,0,0,0,9.8,52.91,3.92,0,0,3.92,13.72,0,29.4,0
