stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,44.69,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,119.58,0,0,0,0,0,0,0,34.62,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,32,38,1,0,0,0,1,33,0,0,0,0,0,5,0,1,12,0,1,1,0,0,0,0,0,10,0,0,0
 24-34,0,0,40.22,2.46,0,0,0.82,0,0,16.42,0,0,0,0,13.13,0.82,0,0.82,5.75,0,0.82,0,0,0,0,2.46,0,4.1,0,0,0
 36-46,0,0,8.86,1.61,0,0,0,0.81,0,20.95,0,0.81,0,0,18.53,1.61,0,0,4.83,1.61,0.81,0.81,0,0,0.81,1.61,0,2.42,0,0,0
 48-58,0,0,5.16,0.57,0,0,1.15,0,0,29.84,0,0,0,0,5.74,10.9,0,0,9.18,0,0.57,0,0,0,0,1.15,0.57,0,0,0,0.57
 60-70,0,0,0,0.98,0,0,6.87,0,0,87.36,0,0,0,0,9.82,26.5,0.98,0,16.69,0,0.98,0,0,0,0,4.91,0,5.89,0,0.98,0
 72-82,0,11.78,2.94,0.98,0,0,11.78,0,0,160.01,0,0,0,0.98,6.87,44.17,0.98,0.98,30.43,1.96,0,0.98,0,0,1.96,3.93,0,0.98,0.98,0,3.93
 84-94,0,9.56,10.62,1.06,1.06,0,4.25,0,1.06,356.84,0,0,1.06,0,29.74,63.72,0,0,25.49,3.19,1.06,0,0,0,1.06,21.24,0,2.12,1.06,0,3.19
 96-106,0,7.65,16.39,1.09,1.09,0,14.21,1.09,2.19,319.11,0,0,2.19,0,16.39,37.16,1.09,2.19,41.53,2.19,1.09,0,0,1.09,5.46,12.02,0,0,0,0,13.11
108-118,0,1.53,19.92,3.06,0.77,0.77,2.3,1.53,1.53,291.83,0,0,0,0.77,16.09,26.81,0,0,31.4,0,0,0,0,0,3.06,18.38,0,0,0.77,0,11.49
120,0,0,7.84,1.96,0,0,3.92,1.96,0,186.18,0,0,1.96,0,21.56,31.36,0,0,25.48,0,1.96,0,0,0,1.96,17.64,0,0,0,0,9.8
