stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,56.65,9.44,0,0,22.03,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,15,4,0,3,0,0,2,3,0,3,0,0,0,0,2,0,7,0,0,9,32,1,0,3,1,0,26,2,0,4,17,0,0,1,0,0
 24-34,0,0,0,9.03,0,0,13.95,1.64,0,2.46,0,0,0,0,0.82,0,0.82,0,0,20.52,0.82,0,6.57,67.31,1.64,0,4.1,0,0,76.34,0,0,1.64,10.67,0,0,4.93,0,0.82
 36-46,0,0,0,2.42,0,0,9.67,0,2.42,4.83,0,0,0.81,0,0,0,0.81,0,0.81,20.14,0.81,0,5.64,38.67,1.61,2.42,0.81,0,0,41.09,0,0.81,0,8.06,0,0,0,0,0.81
 48-58,0,0,0.57,3.44,0.57,0,18.36,0,1.15,16.07,0.57,0,0.57,0.57,0,0,0,1.72,0.57,28.12,0,1.15,5.16,32.13,0,0.57,1.15,0,0,19.51,0,0.57,0,9.18,0,0,1.72,0,2.3
 60-70,0,0,0,5.89,0,0,33.37,0.98,2.94,22.58,1.96,0,0,0,0,0,0,0.98,0.98,30.43,0,0,4.91,17.67,1.96,0.98,0.98,0,0.98,22.58,0,0.98,0,4.91,0,0.98,5.89,0.98,0.98
 72-82,0,0,0,9.82,0.98,0,48.1,0,2.94,38.28,4.91,0,1.96,1.96,0.98,2.94,1.96,6.87,0.98,47.12,0,1.96,3.93,22.58,0,2.94,7.85,0,0,21.6,0,1.96,0,3.93,2.94,1.96,5.89,2.94,3.93
 84-94,0,0,0,6.37,2.12,2.12,96.65,3.19,3.19,20.18,7.43,1.06,0,1.06,1.06,3.19,3.19,8.5,0,38.23,1.06,1.06,2.12,14.87,1.06,5.31,4.25,0,0,74.34,0,1.06,0,0,1.06,1.06,3.19,1.06,1.06
 96-106,0,0,0,14.21,1.09,0,121.31,1.09,1.09,37.16,15.3,0,1.09,3.28,2.19,2.19,3.28,18.58,0,39.34,4.37,1.09,4.37,31.69,2.19,5.46,10.93,0,0,52.46,0,1.09,0,2.19,0,3.28,12.02,3.28,3.28
108-118,0,0,0,19.15,0,3.06,127.92,0.77,2.3,19.92,18.38,0,0.77,3.83,2.3,6.13,3.06,26.04,0,35.23,3.06,3.06,5.36,21.45,0.77,4.6,1.53,0,0,59.75,0,3.83,0,0.77,0,1.53,2.3,0,0.77
120,0,0,0,29.4,7.84,0,39.2,5.88,1.96,23.52,29.4,0,1.96,5.88,0,0,3.92,21.56,0,35.28,1.96,1.96,1.96,21.56,0,3.92,0,0,1.96,45.08,0,1.96,0,0,0,0,1.96,3.92,0
