stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,2,0,1,0,1,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0.82,7.39,0,0.82,1.64,0,4.1,1.64,0.82,0,13.95,0,1.64,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0.81,0,0.81,0.81,2.42,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0,0,0.81,0
 48-58,0,0,1.72,0,1.15,0.57,0,0,0.57,0,0,0,1.72,0,0,0,0,0.57,0.57,1.15,0,12.62,0,0,0,1.15,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,1.96,0.98,0,0,0,0.98,0,0,0,0.98,0,0,0,21.59,0,0,0,0,0,0,0,0
 72-82,0,0,3.93,0.98,0.98,0,0.98,0,1.96,0,0,4.91,3.93,1.96,2.94,1.96,0,2.94,0.98,0,0,22.58,0,0,0,0,0,0,0,0.98
 84-94,0,1.06,4.25,0,1.06,0,0,0,2.12,0,1.06,8.5,5.31,0,1.06,0,1.06,2.12,0,1.06,0,45.67,0,2.12,0,0,0,0,0,0
 96-106,0,0,5.46,0,1.09,0,0,0,1.09,0,0,12.02,4.37,0,2.19,0,0,2.19,0,2.19,0,38.25,0,0,0,0,0,0,2.19,0
108-118,0,0,11.49,0,2.3,0,1.53,0,7.66,0,0,8.43,3.83,0.77,0.77,1.53,0,5.36,0,0,0,29.87,0,0,0,0,1.53,0.77,0,0
120,0,0,15.68,1.96,5.88,0,5.88,1.96,13.72,0,0,23.52,3.92,0,0,0,0,1.96,0,3.92,0,52.91,0,3.92,0,0,0,0,3.92,0
