stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,11,0,0,0,0,0,0,1,0,0,5,2,0,0,0,0
 24-34,0,0,1.64,0,2.46,0.82,0.82,0,0.82,0,0,0.82,0,0,0,0,0,0,8.21,0.82,3.28,12.31,0.82,0,0,0,0,0,0,0,0,3.28,0.82,0,0,0,0
 36-46,0,0,0.81,0,0.81,0.81,0,0.81,0,0.81,0,0,0,0,0,0,0,0,12.89,0,5.64,14.5,0,0,0,0,0.81,0,0,0,0.81,0.81,2.42,0,4.03,0,2.42
 48-58,0,0,0.57,0,0,0.57,0,2.3,5.16,0,0,0,0.57,0,0,0,0,0,17.21,0,6.89,11.48,0,0,0,0,0,0,0,0,1.15,0,1.15,0,1.72,0,2.87
 60-70,0,0,0.98,0,3.93,0,0,0,12.76,0,0,0,0.98,0,0,0,0,0,37.3,0,1.96,14.72,0,0.98,0,0,0,0,0,0,0,0,4.91,0,3.93,0,0
 72-82,0,0,1.96,0,9.82,0.98,0,1.96,15.71,0.98,0,0.98,3.93,0,0,0.98,0,0,39.27,1.96,4.91,19.63,0,4.91,0,0.98,0,0,0,0,0,0,3.93,0.98,6.87,0.98,0.98
 84-94,0,0,5.31,0,8.5,1.06,0,2.12,14.87,0,0,0,6.37,1.06,1.06,0,0,2.12,35.05,1.06,2.12,28.68,0,1.06,0,0,0,0,0,0,0,0,7.43,0,8.5,0,2.12
 96-106,0,0,2.19,2.19,14.21,1.09,0,1.09,7.65,0,0,0,4.37,1.09,2.19,0,1.09,0,29.51,1.09,1.09,29.51,2.19,4.37,0,1.09,1.09,0,0,1.09,1.09,0,0,1.09,9.84,1.09,1.09
108-118,0,0,0.77,0,14.55,0,0,2.3,19.15,0,0,0,2.3,0.77,2.3,0,0,1.53,22.21,1.53,4.6,22.98,0,3.06,0,1.53,0,0,0,0.77,0.77,0,2.3,0.77,3.83,1.53,3.83
120,0,0,1.96,1.96,7.84,0,0,0,17.64,0,1.96,0,9.8,1.96,0,1.96,1.96,1.96,15.68,0,5.88,37.24,0,7.84,0,0,0,0,0,0,0,0,9.8,0,5.88,0,3.92
