stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,1,0,0,20,2,14,0,0,0,0,0
 24-34,0,0,0.82,1.64,0.82,0,0,7.39,0,0,0.82,0.82,0,0,0,0,0,0,0.82,0,1.64,119.84,0,4.1,0,0,0,0.82,0,0,18.06,4.93,35.3,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,9.67,29,0,0.81,3.22,0,0,0,0,0,0,0,2.42,0,2.42,263.45,0,4.83,1.61,0,0,0,0,0,20.14,0.81,61.23,0,0,0,0,0.81
 48-58,0,0,0,1.15,0,0,51.07,43.04,0.57,0,5.16,0,0,0,0,0,1.15,1.15,2.87,0,1.15,327.64,0.57,2.87,0,0,0,1.15,0,0,20.08,0,59.1,0,0,0.57,0,1.15
 60-70,0,0,0.98,1.96,0,0.98,141.34,40.24,0,0,13.74,0,0,0,0,0,0,0,9.82,0,3.93,494.69,0,3.93,0.98,0,0,1.96,0,0,23.56,0,70.67,0,0.98,0.98,0,0.98
 72-82,0,0,1.96,1.96,3.93,0,166.88,53.01,0.98,0,16.69,0,0,0.98,0,0,0,1.96,12.76,0,3.93,470.22,0,5.89,3.93,0,0.98,2.94,0,0.98,15.71,0,35.34,0.98,0,1.96,0.98,0
 84-94,0,0,2.12,3.19,2.12,0,123.2,96.65,1.06,0,19.12,1.06,0,1.06,1.06,1.06,0,1.06,10.62,2.12,7.43,212.41,0,1.06,1.06,0,0,6.37,0,0,25.49,0,22.3,0,0,2.12,0,1.06
 96-106,0,0,2.19,7.65,5.46,0,107.1,189.06,0,1.09,19.67,0,1.09,2.19,1.09,0,1.09,0,18.58,0,6.56,207.64,0,2.19,2.19,0,0,6.56,0,0,37.16,0,12.02,0,0,2.19,2.19,1.09
108-118,0,0,0.77,1.53,2.3,0,84.26,206.81,0.77,0,26.81,1.53,0.77,2.3,0,0.77,0,1.53,12.26,0,19.92,243.58,1.53,3.83,5.36,0,0.77,4.6,0,0,42.89,0,9.96,0.77,0,0,0,0
120,0,0,0,0,0,0,45.08,119.55,0,0,29.4,1.96,0,0,1.96,0,0,0,5.88,0,11.76,205.78,1.96,7.84,0,0,1.96,3.92,1.96,0,15.68,0,9.8,0,0,1.96,0,0
