stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,7,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,3,6,0,0,3,0,0
 24-34,0,0,0,0,2.46,0.82,0,8.21,0,0,0,0.82,0,0,0.82,18.88,0.82,0,1.64,2.46,1.64,0.82,0,0,4.93,0.82,0,0,0,0,0.82,0,0,0,0.82,0,0,18.88,0,2.46
 36-46,0,0,0,0,0.81,0,0,14.5,0,0,0,4.03,0,0,1.61,14.5,0,0,0.81,3.22,1.61,0,0,0,15.31,1.61,1.61,0,0,0,0,0,0,0,0.81,0,0,25.78,0,3.22
 48-58,0,0,0,0,0,0.57,0,10.33,0.57,0,2.3,3.44,0,0,1.72,14.92,0.57,0,0.57,2.3,4.02,0,0,1.15,10.33,0.57,0.57,0,0,0,0,0.57,0.57,0,4.02,0,0,30.41,0,2.3
 60-70,0,0,0,0,0.98,0.98,0,11.78,0,2.94,0.98,10.8,0,0,0.98,9.82,1.96,2.94,0,0.98,13.74,0,0.98,0.98,12.76,0.98,2.94,0,0,0,0,0,0.98,0,1.96,0,0,27.48,0.98,4.91
 72-82,0,0,0.98,0,5.89,10.8,0,15.71,0,0.98,2.94,26.5,1.96,0,0.98,32.39,0,0.98,0,0.98,27.49,0.98,0,3.93,26.5,0,2.94,0,0.98,0,0,0,0,0,5.89,0.98,0.98,68.72,0,1.96
 84-94,0,0,0,0,7.43,13.81,1.06,24.43,0,2.12,2.12,18.05,2.12,0,5.31,57.35,1.06,3.19,1.06,5.31,15.93,0,0,1.06,25.49,0,4.25,0,0,0,0,1.06,0,0,1.06,4.25,0,63.72,0,4.25
 96-106,0,0,3.28,0,25.14,8.74,0,26.23,0,5.46,1.09,17.49,3.28,0,7.65,57.92,1.09,7.65,1.09,2.19,27.32,0,3.28,1.09,26.23,0,4.37,0,1.09,1.09,0,0,0,0,0,6.56,0,48.09,1.09,1.09
108-118,0,0,0,0.77,29.87,6.89,7.66,20.68,0,3.06,1.53,16.09,7.66,0,3.06,58.21,3.06,13.79,3.06,6.13,26.04,1.53,0,1.53,15.32,0.77,3.83,0,0,4.6,0,0.77,0,0,1.53,6.13,0,44.43,0,4.6
120,0,0,3.92,0,27.44,7.84,3.92,13.72,3.92,9.8,0,11.76,9.8,1.96,0,84.27,3.92,1.96,3.92,3.92,23.52,0,0,1.96,41.16,3.92,3.92,0,1.96,3.92,0,0,1.96,0,1.96,0,0,47.03,1.96,0
