stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0.57,0,0,0,1.72,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,3.93,0,0,0,0,0,3.93,0,1.96,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,1.96,0,0,2.94,0.98,0,0,76.57,0,0.98,0,0,0,0,0,4.91,0,0,0,11.78,0,0,0,0,0.98,0.98,3.93,0,0,0
 84-94,0,0,2.12,0,0,3.19,0,0,3.19,190.1,0,0,0,0,0,0,0,4.25,0,1.06,3.19,8.5,0,0,1.06,0,0,2.12,1.06,0,1.06,0
 96-106,0,4.37,3.28,2.19,0,14.21,1.09,1.09,4.37,403.26,2.19,3.28,0,0,1.09,0,1.09,8.74,1.09,0,1.09,78.68,0,0,0,0,1.09,5.46,0,0,3.28,0
108-118,0,0.77,3.83,1.53,1.53,4.6,0.77,0,5.36,528.51,0,0.77,3.06,0.77,0.77,2.3,0,11.49,0,0,0.77,72,0,0.77,0.77,0,0,3.83,0.77,0.77,0.77,1.53
120,0,0,3.92,0,1.96,15.68,0,0,0,409.6,0,0,0,0,0,9.8,0,9.8,0,0,0,68.59,0,0,0,0,0,3.92,1.96,0,0,0
