stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,17.24,0,1.64,0,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,4.03,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0,4.59,0,0,0,0,0,0.57,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,2.94,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0.98,0,0,0
 72-82,0,0,0,0,1.96,0,0,10.8,0,0,0,0,0,47.12,0,2.94,0,0.98,0,8.83,0,0,0,0,0.98,0.98,0,0,0.98,0,1.96,0,3.93,0
 84-94,0,0,0,0,1.06,0,0,8.5,0,0,0,0,0,115.76,0,1.06,0,1.06,0,3.19,0,0,0,0,0,0,1.06,0,0,0,0,0,3.19,0
 96-106,1.09,1.09,5.46,1.09,5.46,0,1.09,8.74,0,0,1.09,1.09,2.19,382.5,0,18.58,0,3.28,1.09,50.27,1.09,2.19,3.28,0,0,7.65,2.19,0,1.09,1.09,1.09,1.09,6.56,0
108-118,0,4.6,2.3,3.06,11.49,0.77,2.3,8.43,2.3,0,2.3,0,1.53,1116.01,0.77,7.66,0.77,1.53,0.77,59.75,0,0,0.77,0,0,9.19,1.53,0.77,0.77,0,0,2.3,3.83,0.77
120,0,5.88,3.92,0,9.8,0,1.96,3.92,1.96,0,0,0,0,493.87,0,7.84,0,1.96,1.96,31.36,0,0,0,0,0,1.96,0,0,0,1.96,3.92,0,3.92,0
