stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,11,1,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,46,0,0,0,0,0,0,3,1,8,24,0,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,12.31,0,0,0.82,0.82,0,0,0,0,1.64,0,0,21.34,0,0,7.39,129.7,0.82,4.1,4.1,0,0,4.1,0,0,2.46,36.12,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,28.2,0.81,0.81,10.47,0,0.81,0,0,0,1.61,0,0,35.45,0,0,4.03,182.89,0,2.42,4.03,0,0,2.42,0,1.61,0,29,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,53.94,0,0.57,16.07,0,0,0,0,0,0,0,1.15,31.56,0,1.15,2.87,198.54,0,4.02,1.72,0,0,1.15,0,0,0,32.71,0,0,1.15,0,0
 60-70,0,0,0,0,1.96,0,0,84.41,0.98,0,19.63,0,0,0,0,0.98,0.98,0,0,29.45,0,0,5.89,216.92,0,2.94,0,0,0.98,1.96,0,0,0,28.46,0,0,0,0.98,2.94
 72-82,0,0,0.98,0,2.94,0,0.98,81.48,0,0.98,21.6,1.96,0.98,0.98,0.98,0,0.98,0,0,59.88,0,0,4.91,171.79,0,1.96,4.91,0,0,1.96,0,0,0,21.6,0,0,0.98,0.98,0
 84-94,0,0,0,0,3.19,0,0,73.28,0,3.19,9.56,2.12,0,2.12,0,1.06,0,0,0,24.43,0,1.06,4.25,91.34,0,4.25,4.25,0,0,5.31,0,1.06,0,9.56,0,0,1.06,1.06,1.06
 96-106,0,0,0,0,4.37,1.09,0,54.64,0,0,13.11,0,0,1.09,1.09,0,0,0,0,32.79,0,1.09,4.37,78.68,1.09,3.28,6.56,0,0,3.28,0,2.19,0,6.56,0,2.19,3.28,0,0
108-118,0,0,0,0,6.89,0,0,45.96,1.53,2.3,7.66,1.53,0,0,1.53,2.3,0,1.53,0,28.34,0.77,1.53,4.6,117.19,0,3.83,7.66,0,0,2.3,0,0,0,3.83,0,0.77,1.53,0,0
120,1.96,0,0,0,3.92,0,0,39.2,0,0,17.64,1.96,0,0,0,0,0,0,0,17.64,0,1.96,1.96,92.11,0,1.96,3.92,0,0,3.92,0,0,0,5.88,3.92,0,3.92,0,0
