stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1,18,0,0,0,0,0,0,1,34,0,0,0,0,0
 24-34,0,0,13.13,0,7.39,0,0,4.93,0,1.64,0,1.64,0,0,0,0,0,0.82,0,2.46,0,0,0,247.9,0,84.55,1.64,0,0,6.57,0.82,0,0,120.67,0,0,0.82,0,0.82
 36-46,0,0,11.28,0,5.64,0.81,0,8.86,0.81,0,0,3.22,0,0.81,0,0.81,0,0.81,0,2.42,0.81,0,0.81,491.46,0,96.68,0,0,0,3.22,0,0.81,0,114.41,0,0,1.61,0,0.81
 48-58,0,0,9.75,0,5.74,0,0,32.13,0,0.57,0,4.59,0,0.57,0,0,0.57,0.57,0.57,4.02,0,0,1.15,480.27,0,57.38,0,0,0,5.74,0.57,0,0,86.07,0,0,0,0,0.57
 60-70,0,0,5.89,0,1.96,0,0,61.84,0,0,0.98,17.67,1.96,0,0.98,0,0,0,0,5.89,1.96,0,0,843.13,0,58.89,0,0,0.98,0,0.98,0,0,86.37,0.98,0,0,0,1.96
 72-82,0,0,22.58,0,9.82,1.96,0,107,0,0,0,36.32,9.82,0,0,0.98,0.98,0,0,13.74,0,0,0.98,1142.65,0,87.37,0,0,0,2.94,0,0,0,81.48,12.76,0,2.94,0,0
 84-94,0,0,19.12,0,10.62,1.06,0,81.78,0,0,0,20.18,10.62,0,1.06,1.06,0,2.12,1.06,10.62,0,0,0,659.53,0,81.78,0,0,0,7.43,0,1.06,0,45.67,75.4,0,2.12,2.12,0
 96-106,0,0,21.86,0,19.67,1.09,2.19,99.45,0,0,1.09,29.51,21.86,1.09,1.09,1.09,0,1.09,2.19,13.11,3.28,1.09,1.09,657.89,0,125.68,2.19,1.09,0,7.65,0,0,0,33.88,124.58,1.09,0,3.28,1.09
108-118,0,0,14.55,0,18.38,0,0,92.68,1.53,1.53,0.77,34.47,12.26,0,2.3,0.77,0.77,0,0,4.6,0.77,0,0,769.03,1.53,66.64,3.06,0,0.77,13.79,0,0,0,22.21,160.09,0,0.77,2.3,0
120,0,0,7.84,0,25.48,1.96,0,90.15,0,7.84,0,29.4,5.88,0,3.92,0,0,0,1.96,9.8,0,0,1.96,893.66,0,48.99,3.92,0,0,3.92,0,0,0,37.24,48.99,0,1.96,0,0
