stage,blastomeres,epidermis,erythrocytes,eye,glial,iridophores,mesenchyme,mural.cell,neural,pronephros,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,6.57,0,1.64
 36-46,0,0,0,0.81,0,0,0,0,4.83,0,1.61
 48-58,0,0,0,0.57,1.15,0,0.57,0,10.9,0,1.72
 60-70,0,0,0,6.87,1.96,0.98,0,0,9.82,0.98,0
 72-82,0,0,0,4.91,6.87,0,4.91,0,12.76,0,0
 84-94,0,0,0,2.12,0,1.06,1.06,0,3.19,0,0
 96-106,0,0,1.09,2.19,0,0,2.19,0,7.65,0,0
108-118,0,0,0,2.3,0,0.77,0,0.77,3.83,0,0
120,0,0,0,0,3.92,0,1.96,0,9.8,0,1.96
