stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,2,0,0
 24-34,0,0,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,17.24,0,13.95,0,0,0,0,5.75,0,0
 36-46,0,0,0,0,29.81,0,0,0,0.81,0,0,0,0,0,1.61,0,0,0,20.14,0,16.11,0,0,0,0.81,41.89,0,0
 48-58,0,0,0,0,148.04,0,0,4.02,0,0,0,0.57,0,0,1.72,0,0,0,60.82,0,20.08,0,0,0,0.57,110.74,0,0
 60-70,0,0,0.98,0,186.49,0.98,0.98,10.8,0,0,0,0.98,0,0.98,3.93,0,0,0,72.63,0,8.83,0,0,0,1.96,134.47,0,0
 72-82,0,0,2.94,0.98,123.69,0,0,8.83,0,0,0,0,0,0,5.89,0,0,0,107.98,0,27.49,0,0,0.98,1.96,96.2,0,1.96
 84-94,0,1.06,1.06,0,89.21,0,0,11.68,0,1.06,1.06,0,0,0,4.25,0,0,0,76.47,1.06,22.3,1.06,0,0,0,59.47,1.06,0
 96-106,0,1.09,2.19,2.19,49.18,0,0,8.74,0,0,0,0,3.28,0,4.37,0,1.09,1.09,64.48,1.09,20.76,2.19,0,0,3.28,39.34,0,0
108-118,0,0,1.53,0,54.38,0,0,7.66,0,0,0,0,1.53,0,1.53,0.77,0,0,81.96,0,13.79,3.06,0,0,0.77,29.87,0,0.77
120,0,0,3.92,0,60.75,0,0,3.92,0,0,0,0,1.96,0,3.92,0,0,0,72.51,0,13.72,1.96,0,0,1.96,25.48,0,0
