stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,4,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,4.1,0,0,0,0,0,43.51,1.64,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0.81,0,0,0,0,0.81,4.83,0,0,0,0,0,29.81,1.61,2.42,0,0,0,0,0
 48-58,0,0,0,0,0.57,2.87,0.57,0,0,8.03,0,0,0,0,7.46,1.15,0,0,0,0.57,3.44,0,0,0,0,0,21.8,0,1.72,0,0,0,0,0
 60-70,0,0,0,0,2.94,2.94,0,0,0.98,19.63,0,0,0,0,17.67,0,0.98,0,0,0,5.89,0,0,0,0,0,27.48,0.98,1.96,0,0,0,0,0
 72-82,0.98,1.96,0.98,0,10.8,1.96,0,0,1.96,86.39,0,0,0,1.96,94.24,0,1.96,0,0,0.98,28.47,0,0.98,0,0,1.96,52.03,0,0.98,0,0,0,0,0.98
 84-94,0,0,0,1.06,6.37,0,0,0,2.12,146.56,0,0,0,0,294.18,0,0,0,0,0,26.55,0,1.06,1.06,0,2.12,84.96,1.06,0,0,0,0,0,0
 96-106,2.19,0,1.09,1.09,10.93,1.09,1.09,0,1.09,208.73,1.09,2.19,0,0,381.4,0,12.02,0,0,2.19,57.92,0,0,0,0,3.28,88.52,0,1.09,0,1.09,1.09,0,0
108-118,0,2.3,0,3.06,6.89,2.3,0,0.77,3.06,175.41,2.3,0.77,0,0,504.77,0.77,4.6,0.77,0.77,2.3,43.66,0.77,0.77,1.53,0,0.77,62.81,1.53,0.77,0.77,0,0.77,0.77,0
120,0,3.92,0,0,3.92,0,0,0,1.96,109.75,0,0,1.96,0,284.17,0,0,0,1.96,1.96,33.32,0,0,1.96,0,0,45.08,0,0,0,0,0,1.96,0
