stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,42.06,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,10,1,0,3,0,0,0,1,0,0,0,0,3,0,4,58,1,0,0,2,0,5,1,1,16,17,0,0
 24-34,0,0,0,0,0,0,0.82,0.82,0.82,0.82,0,0,0.82,0,0,2.46,0,0.82,24.63,0.82,0,0.82,0,0,0,0.82,0,0.82,5.75,0,0
 36-46,0,0,0,0,0.81,0,4.03,0,0,0,0,0,0,0,0,2.42,0,0,20.14,0,0,0,0,1.61,0,0,0,0,4.83,0,0
 48-58,0,0,0,0.57,0,0,8.61,0,0,0.57,0,0,0,0,0,3.44,0,2.3,18.94,0.57,0,0,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0.98,0,0,11.78,0,0,0.98,0,0,0,0.98,0,2.94,0,0.98,18.65,0,0,0,0,0,0,0,0,0,3.93,0,0.98
 72-82,0,0,0,0,0,0,10.8,0,0,0,0.98,0,0,0,0,2.94,0,0.98,13.74,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,2.12,0,2.12,0,0,0,0,0,0,1.06,0,4.25,1.06,1.06,9.56,0,0,0,0,5.31,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0,1.09,0,0,6.56,0,1.09,0,0,1.09,0,0,0,0,1.09,0,0
108-118,0,0,0,1.53,0,0.77,3.06,0,0,0,0,0,0,0.77,0.77,3.06,0,0.77,4.6,0,0,0.77,0,0.77,0,0,0,0,0,0.77,0
120,0,0,0,3.92,0,0,3.92,0,0,0,0,0,0,1.96,0,3.92,0,1.96,9.8,0,0,0,0,0,0,0,0,0,0,1.96,0
