stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,10,1,0,0,0,3,0,1,1,0,0,0
 24-34,0,3.28,0.82,2.46,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0.82,0,0,2.46,35.3,0,0.82,0,0,19.7,1.64,0,4.93,0,1.64,0.82
 36-46,0,1.61,0,7.25,0.81,0.81,0,1.61,0,0.81,0,0.81,0,0,0.81,0,4.83,0,0.81,0,60.43,0,3.22,0.81,0,19.34,0,0,6.45,0,1.61,0
 48-58,0,2.3,0,13.2,0.57,1.15,0.57,1.72,0,0,0,0,0,0,0,0,6.89,0,0.57,0.57,49.35,0,0,0,0,7.46,0,0,5.16,0,0,1.15
 60-70,0,3.93,0,39.26,0,0.98,0.98,7.85,0,0,0.98,0.98,0,0,0,0,6.87,0,0,0,71.65,0,0.98,0.98,0,34.35,0,0,6.87,0,0.98,0
 72-82,0,1.96,0.98,19.63,0,0.98,0.98,7.85,0,0.98,0,0,0,0,0,0,12.76,0,0,3.93,56.94,0,0,0,0,15.71,0,0,0.98,0.98,0.98,0
 84-94,0,6.37,2.12,11.68,0,1.06,1.06,3.19,0,0,1.06,1.06,0,0,0,0,8.5,0,0,3.19,20.18,0,0,1.06,0,46.73,0,0,3.19,0,3.19,0
 96-106,1.09,2.19,0,12.02,0,1.09,1.09,0,2.19,0,2.19,0,1.09,1.09,2.19,0,13.11,0,1.09,0,27.32,0,0,0,1.09,46.99,0,0,1.09,0,2.19,0
108-118,0,3.06,0,19.15,0,0.77,1.53,2.3,0.77,0,0.77,0,1.53,0,0.77,0,8.43,0.77,0,0.77,19.92,0,0,0,0,38.3,0,0,0.77,0,2.3,1.53
120,0,13.72,0,7.84,1.96,0,0,5.88,3.92,0,0,0,0,0,0,1.96,17.64,0,1.96,1.96,33.32,0,1.96,0,0,41.16,0,0,0,0,3.92,0
