stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,14,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,2,0,2,0,0,0,0
 24-34,0,0,50.89,0,0,0.82,0,0,0,0,0,0,0.82,0.82,0,0,5.75,0.82,0,7.39,27.09,0,0,0,0,0,13.95,0,0,0,0,0,0
 36-46,0,0,34.64,1.61,0,0.81,0.81,0.81,0,0,0.81,0,0.81,0,0,0,16.92,0,0,4.83,16.11,0,0,0,0,0,24.17,0.81,0,0.81,0.81,0,0
 48-58,0,0,28.69,5.74,0,2.3,0,2.3,0,0.57,1.15,0,0,0.57,0,0,24.67,0,0.57,10.33,18.36,0,0,0,0,0.57,18.36,0,4.02,0,0,0,0
 60-70,0,0,64.78,6.87,0,6.87,0,2.94,0,0,3.93,0,0,0,0,0,69.69,0.98,4.91,3.93,27.48,0,0,0,0,0,23.56,0,0.98,1.96,0,0,0
 72-82,0,0,54.97,5.89,0,1.96,1.96,4.91,0,0,2.94,0,0,0,0,0,162.96,0,4.91,12.76,27.49,0,0,0,0,0,34.36,0,0,0,0.98,0.98,0
 84-94,0,0,107.27,18.05,1.06,2.12,1.06,1.06,0,0,5.31,2.12,1.06,0,0,1.06,89.21,0,4.25,8.5,8.5,1.06,0,1.06,0,2.12,108.33,1.06,0,1.06,0,0,0
 96-106,0,1.09,131.14,8.74,0,4.37,0,1.09,2.19,0,5.46,0,1.09,0,0,0,133.33,0,3.28,4.37,20.76,0,1.09,0,0,1.09,140.98,0,0,2.19,0,2.19,0
108-118,0,0,102.64,10.72,0,3.06,0.77,3.06,3.06,0,1.53,0,0.77,0,1.53,0,98.04,0.77,2.3,1.53,16.85,0,0,0,0,1.53,82.72,0,0,1.53,0,1.53,0.77
120,0,0,76.43,9.8,0,7.84,1.96,1.96,5.88,0,0,0,0,0,0,0,92.11,0,3.92,1.96,9.8,0,1.96,3.92,0,3.92,90.15,1.96,1.96,0,1.96,1.96,0
