stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.37,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,28.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,3.15,0,0,6.29,0,22.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,26,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,4,0,0,2,21,3,3,0,1,0,217,4,0,3,6,6,0,0,1,0,0
 24-34,0,0,0.82,1.64,5.75,0,0,7.39,0,0.82,0,0,0,0,4.1,0,1.64,0,0,0,11.49,2.46,0,0.82,77.16,0,1.64,3.28,0,0.82,246.26,0,0.82,0,0.82,40.22,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,49.95,0,1.61,0,1.61,0.81,0,4.03,0,0.81,0,0.81,0,19.34,2.42,0.81,2.42,166.77,0,3.22,2.42,0,0,249.76,0,0,0,0,70.9,0,0,0.81,0,0.81
 48-58,0,0,0,0,2.87,0,0,105.01,0,2.87,0,6.31,0,1.72,1.72,0,0.57,0,1.15,0,25.82,0.57,0.57,3.44,148.04,0,2.87,2.87,0,0.57,179.03,0,0,0.57,0,77.46,0,0,0.57,0,1.15
 60-70,0,0,0,0,6.87,0,0,217.9,0,5.89,0,16.69,0.98,0,4.91,1.96,1.96,0,1.96,0,48.09,2.94,0.98,2.94,170.78,0,0,3.93,0,0,222.81,0,0,0.98,0,45.15,0,0,0.98,0,0
 72-82,0,0,0,0,21.6,0.98,0,194.37,0,1.96,2.94,21.6,2.94,0,2.94,3.93,5.89,0.98,1.96,0,76.57,1.96,7.85,7.85,172.77,0,3.93,4.91,0,1.96,217.93,0,0.98,0.98,0,21.6,1.96,0,0,1.96,1.96
 84-94,0,0,0,0,41.42,1.06,0,166.74,2.12,18.05,0,8.5,8.5,2.12,5.31,1.06,7.43,1.06,1.06,1.06,38.23,7.43,2.12,1.06,117.89,0,3.19,7.43,0,1.06,536.33,0,2.12,1.06,0,11.68,1.06,0,2.12,1.06,1.06
 96-106,0,0,0,0,64.48,4.37,0,133.33,1.09,25.14,0,13.11,6.56,0,4.37,2.19,16.39,0,0,1.09,55.74,10.93,8.74,1.09,90.71,2.19,5.46,14.21,0,0,478.67,0,1.09,0,0,6.56,4.37,0,5.46,3.28,1.09
108-118,0,0,0,0.77,59.75,0.77,0.77,116.43,1.53,36.77,0,9.19,11.49,0,6.89,3.83,16.85,0.77,1.53,4.6,44.43,14.55,9.19,2.3,112.6,1.53,3.83,9.96,0,1.53,441.19,0,0.77,1.53,0,6.13,6.13,2.3,4.6,2.3,0.77
120,0,0,0,1.96,45.08,3.92,0,60.75,3.92,29.4,0,15.68,3.92,0,3.92,3.92,9.8,1.96,3.92,1.96,39.2,9.8,5.88,5.88,84.27,1.96,11.76,9.8,0,1.96,295.93,0,0,0,0,7.84,0,0,0,0,1.96
