stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,3,52,0,1,0,1,0,0,5,0,0,5,15,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,13.95,0,1.64,0.82,0,0.82,0,0,0,3.28,0,0.82,0,5.75,0.82,0,2.46,142.83,0.82,5.75,1.64,0,0,1.64,0,0.82,0,1.64,36.94,0,0,0,0,1.64
 36-46,0,0,0,0,4.03,0.81,23.36,0,0,0.81,0.81,0,0,0,0.81,0,0,0,0.81,10.47,0,0,2.42,184.5,0,5.64,4.03,0,0,0.81,0,0,0,0,31.42,0,0,0.81,0,0
 48-58,0,0,0,0,3.44,0.57,42.46,0,0,0,8.61,0.57,0,0,0.57,0,0.57,0.57,0,16.07,0,1.15,2.87,220.34,1.15,0.57,1.15,0,0,1.15,0,0.57,0,0,33.28,0,0,0.57,0,0
 60-70,0.98,0,0,0,1.96,0.98,49.08,0,2.94,1.96,7.85,0,0,1.96,1.96,0,0.98,0,0,7.85,0,0.98,0.98,255.2,0,0,0.98,0,0,2.94,0,0,0,0,30.43,0,0,1.96,0.98,0
 72-82,0,0,3.93,0,11.78,0,94.24,0,0.98,0.98,24.54,0.98,0,0,0.98,0,0,2.94,0,55.95,1.96,0.98,2.94,265.05,0,0.98,2.94,0,0.98,1.96,0,0.98,0.98,0,25.52,0.98,0,3.93,0,0.98
 84-94,0,0,1.06,0,11.68,0,49.92,1.06,0,2.12,14.87,4.25,0,0,1.06,2.12,0,0,0,31.86,1.06,3.19,3.19,90.27,0,1.06,0,0,0,21.24,0,0,0,0,13.81,1.06,2.12,1.06,2.12,0
 96-106,0,0,0,0,7.65,2.19,39.34,1.09,1.09,1.09,6.56,4.37,0,1.09,3.28,4.37,1.09,1.09,0,33.88,1.09,0,5.46,108.19,0,0,5.46,0,2.19,5.46,0,0,0,0,3.28,0,2.19,1.09,1.09,0
108-118,0,0,0,0,16.09,0.77,35.23,0,3.06,1.53,15.32,2.3,0,1.53,3.06,3.06,3.06,0,0.77,50.55,0,0,3.83,137.87,0,1.53,3.83,0,0,11.49,0,0,0,0,3.83,2.3,0,5.36,1.53,0
120,0,0,1.96,0,13.72,3.92,52.91,0,3.92,5.88,21.56,0,0,0,15.68,0,1.96,3.92,1.96,33.32,0,0,7.84,107.79,1.96,0,1.96,0,0,9.8,0,0,0,0,11.76,1.96,0,0,0,0
