stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.72,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,18.4,42.06,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,8,0,0,0,0,0,8,1,0,1,0,46,0,0,2,3,0,0,0
 24-34,0,0,0,1.64,0.82,2.46,0.82,0,0,0,0,37.76,0,0,0,3.28,1.64,44.33,0.82,0,0,0,197.01,0,0,0,15.6,0,0,0
 36-46,0,0,0,1.61,0,5.64,1.61,0,2.42,0,0,15.31,0,0,0.81,1.61,0.81,43.51,0,4.03,0,0,167.58,0,0,0,7.25,0,1.61,0
 48-58,0,0,0,2.3,0,3.44,1.72,0,1.72,0.57,0,5.74,0,0,1.15,3.44,0.57,24.67,0,3.44,0,0,86.64,0,0,0,2.3,0,0.57,0.57
 60-70,0,0,0,5.89,0,4.91,0.98,0,0.98,0,0,12.76,0,0,2.94,1.96,0,26.5,0,6.87,0,0,118.76,0,0,0,3.93,0.98,0,0
 72-82,0,0,0,12.76,0,6.87,2.94,0.98,0,6.87,0,44.17,0,0,0,2.94,0,20.61,0,5.89,0,0,168.85,0.98,0,0,1.96,0,0.98,0.98
 84-94,0,0,3.19,31.86,0,4.25,16.99,0,2.12,16.99,0,57.35,0,0,2.12,7.43,0,7.43,0,16.99,0,0,420.57,3.19,0,0,0,2.12,0,0
 96-106,0,0,5.46,103.82,1.09,8.74,21.86,1.09,0,18.58,1.09,89.61,1.09,3.28,3.28,9.84,0,28.41,0,15.3,1.09,0,607.62,3.28,0,0,1.09,1.09,0,0
108-118,0,0,5.36,127.15,0.77,4.6,35.23,0,0.77,14.55,0,68.17,1.53,0,3.06,7.66,0.77,18.38,0,9.96,0.77,0,458.81,3.83,0,0,0.77,10.72,1.53,0
120,0,0,1.96,90.15,0,0,33.32,1.96,7.84,19.6,1.96,47.03,1.96,0,0,11.76,0,13.72,0,3.92,0,0,350.8,3.92,1.96,0,0,3.92,0,0
