stage,axial,blastomeres,endoderm,epidermis,glial,immune,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,79.07,0,0,0,0,0,0,0,0,26.36,0
  5-6,12.26,98.07,0,0,0,0,0,6.13,0,12.26,0,0
  7-9,2.63,0,7.89,0,0,0,15.77,7.89,0,23.66,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,9.44,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0,0,0,0,0.77,0,0.77,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0
