stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,5.26,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,126.18,2.63,0,0,57.83,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,125.88,6.29,0,0,40.91,0,6.29,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,3,2,2,0,1,0,0,1,0,1,0,0,3,0,0,46,0,0,1,1,0,0,3,0,0,8,0,0,1
 24-34,0,0,0,0,0.82,0,20.52,0.82,3.28,0.82,0,0,0,0,0.82,0.82,6.57,0.82,6.57,134.62,0,0.82,0.82,0,1.64,0,0.82,0,0.82,22.16,0,0,1.64
 36-46,0,0,0,0,2.42,0.81,57.2,0,2.42,0,0,0.81,0,0,0,0,5.64,0.81,2.42,111.99,0,0.81,0.81,0,0.81,0,0,0,0,30.62,0,0,1.61
 48-58,0,0,0,0,0.57,0.57,46.48,0,3.44,0,0,0.57,0,0,0,0,6.89,0,1.15,54.51,0,0,0.57,0,1.15,0,0,0,0,5.16,0,0,0.57
 60-70,0,0,0,0,1.96,0,53.98,0,2.94,0.98,0,0,0,0,0,0,8.83,0,0.98,40.24,0.98,0,0,0,0.98,0,0,0,0,1.96,0,0.98,0
 72-82,0,0,0,0,0,0,16.69,0,1.96,0,0,0,0,0,0,0,11.78,0,0,21.6,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,0,0,12.74,0,1.06,0,0,0,2.12,1.06,0,0,9.56,1.06,0,11.68,0,1.06,0,0,3.19,0,0,0,0,1.06,0,0,2.12
 96-106,0,0,0,0,0,0,10.93,0,3.28,0,0,0,0,1.09,0,0,2.19,1.09,0,17.49,0,0,0,0,0,0,0,0,0,1.09,0,0,1.09
108-118,0,0,0,0,0.77,1.53,9.96,0,0.77,1.53,0,0,0.77,0.77,0,0,1.53,0,0.77,13.79,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,1.96,0,0,0,13.72,0,3.92,0,0,0,1.96,0,0,0,5.88,0,0,21.56,0,0,1.96,0,0,0,0,0,0,0,0,0,0
