stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0
 24-34,0,1.64,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0.81,0,0,8.06,0,0,0.81,0
 48-58,0,0.57,0,0,1.15,0.57,0,0,0,0,0,0,4.02,2.3,0,0,60.82,1.15,0,0,0
 60-70,0,6.87,0.98,0,3.93,0,0,0.98,0,0,0.98,0,0,0.98,0,0,152.14,0,0,0.98,0
 72-82,0,33.38,5.89,0,6.87,0,0,0.98,0.98,0.98,0,0,1.96,0.98,0.98,0,257.2,0,0,1.96,0.98
 84-94,0,59.47,0,0,13.81,1.06,1.06,5.31,0,2.12,6.37,0,2.12,2.12,0,0,542.7,0,1.06,0,0
 96-106,0,109.28,3.28,0,34.97,2.19,3.28,9.84,1.09,6.56,7.65,3.28,8.74,2.19,0,0,593.42,1.09,1.09,1.09,1.09
108-118,0,72.77,0.77,0.77,29.11,0,3.06,14.55,0,0,6.13,0.77,1.53,0.77,0.77,0,368.43,0,1.53,0,0
120,0,80.35,0,0,37.24,0,0,15.68,0,0,7.84,0,7.84,5.88,0,0,329.24,0,1.96,0,0
