stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,10.51,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,65.72,5.26,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,22.03,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,25.18,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,9,135,8,0,8,0,0,0,16,3,0,0,0,0,0,0,0,0,21,0,0,8,143,129,6,17,2,0,2,0,0,7,174,0,0,0,0,0
 24-34,0,0,1.64,8.21,120.67,0.82,0,23.8,0,0,0.82,42.68,0.82,0,2.46,0,5.75,0,2.46,1.64,0,215.89,0,0,59.92,710.04,69.77,24.63,35.3,0,0,29.55,0.82,0,0,261.03,0,0,4.93,0,0
 36-46,0.81,0,0,0,73.32,0,0,19.34,0,1.61,3.22,33.03,0,0,1.61,0,0.81,0,1.61,0,0,491.46,0.81,6.45,51.56,495.49,16.92,18.53,24.17,0,0,29.81,1.61,1.61,0,263.45,0,1.61,7.25,0.81,0
 48-58,0,0,0,0.57,79.19,0.57,0,44.76,0.57,1.15,5.16,53.36,0,1.15,1.15,0,0.57,0.57,0.57,0,0,696.03,0,30.99,43.04,285.18,4.02,10.9,35,0,1.15,10.33,1.15,1.15,0,140.58,0,4.02,8.61,0.57,2.3
 60-70,0,0,0.98,0,74.6,0,0,40.24,0,1.96,0.98,89.32,0,0,0.98,0,2.94,0,1.96,0.98,0,862.76,0.98,62.82,42.21,247.34,2.94,10.8,23.56,0,4.91,6.87,1.96,0,0,58.89,0.98,22.58,13.74,10.8,3.93
 72-82,0,0,0.98,0,86.39,5.89,0.98,86.39,1.96,1.96,3.93,133.51,2.94,0,0.98,1.96,3.93,1.96,2.94,0.98,0,1168.18,0,60.86,53.01,284.68,1.96,20.61,35.34,0,7.85,2.94,2.94,0,0,32.39,4.91,30.43,36.32,38.28,2.94
 84-94,1.06,0,0,0,130.63,2.12,0,126.38,2.12,3.19,5.31,110.45,3.19,1.06,4.25,2.12,5.31,3.19,1.06,1.06,0,828.39,1.06,65.85,33.99,169.93,2.12,9.56,30.8,0,3.19,9.56,2.12,0,0,29.74,5.31,33.99,30.8,31.86,0
 96-106,0,0,1.09,0,146.44,1.09,1.09,103.82,2.19,6.56,0,132.23,5.46,0,1.09,5.46,5.46,1.09,3.28,1.09,0,692.86,3.28,42.62,33.88,151.91,0,25.14,43.71,0,12.02,3.28,2.19,1.09,0,18.58,3.28,24.04,24.04,40.44,2.19
108-118,0,0,0.77,0.77,114.89,2.3,0.77,58.98,0,3.83,3.83,87.32,1.53,0,4.6,0.77,9.19,1.53,0.77,0.77,0.77,559.92,0.77,22.98,26.81,157.02,1.53,13.02,39.06,0,9.19,2.3,0,0,0,17.62,5.36,11.49,20.68,30.64,0.77
120,0,0,0,0,68.59,1.96,0,47.03,1.96,9.8,1.96,107.79,5.88,0,3.92,1.96,5.88,0,3.92,0,0,462.51,1.96,15.68,35.28,174.42,0,15.68,35.28,1.96,3.92,1.96,1.96,1.96,0,11.76,3.92,13.72,13.72,45.08,0
