stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,7,0,0,0,0,0,1,0,0,1,6,0,0,0,0
 24-34,0,0,0,0,0.82,0,2.46,0,0,0,1.64,0,0,0,0,0,0,0,1.64,0,1.64,13.95,0.82,0,0,0,0,0,3.28,0,0.82,9.03,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0.81,17.72,0,1.61,0,0,0,0,2.42,0,0,10.47,0,0,0,0
 48-58,0,0,0,0,1.15,0,1.72,0.57,0,1.15,2.87,0,0,0,0,1.72,0,0,11.48,0.57,1.15,20.08,0,0,0,0,0,0,1.72,0.57,0,7.46,0,0,0,0
 60-70,0,0,0.98,0,1.96,0,31.41,0,0,1.96,6.87,0,0,0,0.98,1.96,0,0,28.46,0,1.96,33.37,0,0,0,0,0,0,1.96,0,0,8.83,0,0,0,0
 72-82,0,0,0.98,0,0,0,78.53,0,0,3.93,1.96,0,0,0.98,0,4.91,0,0.98,20.61,0,4.91,34.36,0,0,1.96,0,0,0,3.93,0,0,7.85,0,0,3.93,0.98
 84-94,0,0,0,0,2.12,0,82.84,0,0,0,1.06,1.06,2.12,0,0,6.37,0,1.06,12.74,0,0,14.87,0,0,2.12,0,1.06,0,3.19,0,0,6.37,0,0,1.06,0
 96-106,0,0,0,0,3.28,0,73.22,0,0,0,2.19,0,0,0,0,22.95,1.09,0,15.3,0,1.09,19.67,0,0,2.19,0,1.09,0,2.19,0,0,5.46,0,2.19,1.09,0
108-118,0,0,0,0,0.77,0,52.09,0,0.77,0,4.6,0.77,0,0.77,0.77,10.72,0,0.77,13.02,0.77,0.77,19.15,0,0,1.53,0,0.77,0,1.53,0,0,1.53,0.77,0.77,2.3,0
120,0,0,0,0,1.96,0,45.08,0,0,0,13.72,0,0,3.92,0,5.88,0,0,7.84,0,3.92,19.6,0,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0
