stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,4,0,4,3,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0.82,0,0.82,0,0,0,0,0.82,0,0,0,0,1.64,0,1.64,21.34,0.82,2.46,0,0,7.39,0,0,4.93,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.83,0.81,0,1.61,0,0,0.81,0.81,0,0,0,0.81,3.22,0.81,1.61,55.59,0,2.42,0.81,0,7.25,0,0,10.47,0,0,2.42,0,0.81
 48-58,0,0,0,0,0,0,9.18,0,0.57,5.16,0,0.57,0,0,0.57,0.57,0,0.57,4.02,0,0.57,37.87,0.57,0,0,0,2.87,1.15,0,4.59,0,0,0,0,0.57
 60-70,0,0,0.98,0.98,0,0,29.45,0.98,0,5.89,0.98,0,0.98,3.93,0,0,0,0.98,9.82,0,0.98,56.93,0,0.98,0,0,1.96,0,0,2.94,0,0.98,0,0.98,0
 72-82,0,0,0,0.98,0,0,12.76,0,0,2.94,0,0,0.98,0.98,0,0,0,0.98,2.94,0,0,30.43,0,0,0.98,0,1.96,1.96,0,6.87,0,0,0.98,0,0
 84-94,0,0,0,3.19,1.06,0,16.99,0,1.06,5.31,0,0,0,1.06,0,0,0,0,5.31,1.06,0,22.3,0,1.06,0,0,11.68,2.12,0,1.06,1.06,1.06,2.12,0,0
 96-106,0,0,0,1.09,0,0,5.46,1.09,0,1.09,0,0,0,0,0,0,0,2.19,3.28,0,0,15.3,0,1.09,0,0,4.37,0,0,0,0,0,0,2.19,0
108-118,0,0,0,3.06,0,0.77,6.13,0,0,0.77,2.3,0,0,1.53,0.77,0,0,0,6.13,0.77,0,12.26,0,0.77,0,0,3.06,1.53,0,2.3,0,0,0,0,0
120,0,0,0,1.96,0,0,5.88,0,0,1.96,0,0,0,3.92,0,0,1.96,0,0,0,0,5.88,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0
