stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,21,0,0,0
 24-34,0,1.64,2.46,0,1.64,0,0,0,0,0,0,0,0,0,0,0.82,163.35,0,2.46,0,0,0.82,0,45.97,0,0,0
 36-46,0,0.81,0,0,12.09,0,4.83,0,0,0,0,0,0,0.81,0,0,487.43,0,4.03,0,0,0,0,104.74,0,0,0
 48-58,0,0,0,0,57.95,0,5.16,0,0,0.57,0,0,0,1.15,2.3,0,474.54,0,2.3,0,0,0,0,70,0,0,0
 60-70,0,0,0.98,0,238.51,0,19.63,0,0,0,0,0.98,0,0,2.94,0.98,877.48,0,8.83,0,0,1.96,0.98,115.82,0.98,0,0
 72-82,0,0.98,0.98,0,191.42,0,24.54,0,0.98,0,0,0,0,0.98,3.93,0,602.74,0,6.87,0,0,0,0,32.39,0,0,0.98
 84-94,0,1.06,6.37,1.06,144.44,0,24.43,1.06,0,0,0,1.06,1.06,1.06,2.12,0,263.39,1.06,2.12,1.06,0,1.06,0,15.93,0,0,0
 96-106,0,0,4.37,0,85.24,0,21.86,0,0,1.09,0,0,1.09,0,1.09,0,227.31,1.09,7.65,0,0,1.09,0,8.74,0,1.09,0
108-118,0,0.77,2.3,0,49.02,0,12.26,0,0,0.77,0.77,0,0,0,1.53,0,195.32,0,5.36,2.3,0,0.77,0.77,6.89,0.77,0,0
120,0,0,0,0,47.03,1.96,13.72,0,0,0,0,0,0,0,0,0,164.62,0,3.92,0,0,0,0,7.84,0,0,0
