stage,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,iridophores,melanocytes,mesenchyme,mural.cell,neural,periderm,spinal.cord,vasculature,xanthophores
 14-21,0,1,0,0,0,21,0,0,0,0,1,0,0,0,0
 24-34,0,1.64,0,0,0,55.82,0,0,0,0,3.28,0,0.82,0.82,0
 36-46,0,0,0,0.81,0,49.15,0,0,0,0,2.42,0,0.81,0,0
 48-58,0,0,0,0,0,62.54,0,0,0.57,0,2.3,0,0.57,0.57,0.57
 60-70,0,0,0,0,0,63.8,0,0,0,0,2.94,0.98,0,0,0
 72-82,0.98,0.98,0.98,0,2.94,93.26,0,0,0,0,2.94,0,0.98,0,0
 84-94,0,0,1.06,0,0,129.57,0,1.06,0,0,0,1.06,0,0,0
 96-106,1.09,0,0,0,0,143.16,0,0,0,0,2.19,0,0,4.37,0
108-118,0,0,0,0,0,104.17,0.77,0,0.77,0.77,0.77,0,0,0.77,0
120,1.96,0,0,0,0,168.54,1.96,0,0,0,3.92,0,0,5.88,0
