stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10,6,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,8,0,1,0,0,0,14,4,0,0,1,4,0,0,0,0,0
 24-34,0,0,1.64,3.28,0,5.75,0,0,0,0.82,1.64,0,0,11.49,0,0,0,4.93,0,0.82,0.82,29.55,0,0,1.64,0,0,28.73,0,0.82,0,0,5.75,0,0,0.82,0,0
 36-46,0,0,0,4.83,0,3.22,0,0,0,3.22,0,0,0,11.28,0,0.81,0,7.25,0.81,0,0.81,16.11,0,0,0,0,0,16.11,0,0.81,0,0,5.64,0,0,0,0,0
 48-58,0,0,0,3.44,0.57,5.16,0.57,1.15,0,0,0.57,0,1.15,20.08,0.57,0.57,0,12.05,2.3,0,1.72,12.62,0.57,1.15,0.57,0,0.57,6.31,0,0,0,0,5.16,0,0,0,0,0
 60-70,0,0,0,1.96,0,8.83,0,1.96,0.98,4.91,2.94,0,0,31.41,0,0,0.98,25.52,1.96,0.98,0.98,16.69,0,0.98,0.98,0,0,14.72,0,0,0,0,3.93,0,0,1.96,0,0
 72-82,0,3.93,0,3.93,0.98,5.89,0,1.96,0.98,5.89,9.82,0,0,33.38,0,0.98,1.96,21.6,1.96,1.96,1.96,18.65,0,0,0.98,0,0,9.82,0,0.98,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,7.43,1.06,9.56,0,1.06,2.12,2.12,12.74,1.06,0,66.91,1.06,0,4.25,13.81,1.06,0,1.06,7.43,0,1.06,2.12,0,0,35.05,0,0,0,0,0,2.12,1.06,3.19,0,0
 96-106,0,5.46,0,5.46,4.37,7.65,0,0,2.19,4.37,6.56,0,1.09,68.85,3.28,2.19,5.46,19.67,4.37,1.09,1.09,14.21,0,2.19,1.09,0,0,29.51,0,1.09,0,0,1.09,1.09,2.19,5.46,0,1.09
108-118,0,0,0.77,8.43,0,2.3,0,0.77,0,2.3,10.72,0,0.77,52.09,0,0.77,12.26,13.79,3.06,0.77,0.77,8.43,0,1.53,1.53,0,0,16.85,0,0.77,0.77,0,0,0,0.77,6.13,0.77,0
120,0,1.96,0,3.92,1.96,7.84,0,3.92,0,1.96,13.72,0,0,96.03,0,3.92,5.88,7.84,1.96,0,0,13.72,0,1.96,5.88,0,1.96,19.6,0,0,0,0,0,0,1.96,11.76,1.96,0
