stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,723.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,110.33,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,0,13.14,0,0,0,15.77,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,1309.1,0,0,0,49.95,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,490.93,0,0,0,47.2,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,273,2,0,2,11,0,0,9,1,0,0,1,0,0,0,0,2,0,1,38,0,0,0,0,54,0,2,0,0,11,0,0,1,0,0
 24-34,0,0,0,4.93,206.86,0,0,4.1,32.83,0,0.82,4.1,2.46,0.82,0,0.82,0,6.57,3.28,7.39,3.28,0,3.28,66.49,0.82,1.64,0,0,204.39,0,0,2.46,0,11.49,0,0,1.64,0,0
 36-46,0,0,0,0,57.2,0,0,6.45,18.53,0,0,1.61,0.81,0,0.81,0,0,4.83,0.81,5.64,0,0,0.81,68.48,0.81,1.61,0.81,0,154.69,0,0,0,0,16.11,0,0,0,0,0
 48-58,0,0,0,0,28.12,0,0,13.2,8.03,1.15,4.02,1.72,13.2,0,0,0,0,2.87,1.15,3.44,1.15,0,0,67.14,1.15,1.72,0,0,155.5,0,0,0,0,25.25,0,0,0,0,0
 60-70,0,0,0,0,32.39,0,0,22.58,13.74,0,0.98,5.89,3.93,0.98,0,0.98,0.98,1.96,0,4.91,0,0,0,56.93,0.98,0.98,0.98,0,117.78,0,0,0.98,0,10.8,1.96,0,0,0,0
 72-82,0,0,0.98,0,30.43,0,0,28.47,9.82,0,4.91,19.63,5.89,0,0,0.98,0,8.83,0,8.83,0,0,0,59.88,1.96,1.96,0,0,123.69,0,0,0.98,0.98,7.85,5.89,0,0,0,0
 84-94,0,0,2.12,0,50.98,1.06,0,25.49,20.18,2.12,1.06,31.86,6.37,0,1.06,4.25,0,4.25,0,3.19,3.19,0,0,29.74,0,1.06,0,0,285.69,0,0,1.06,0,2.12,14.87,1.06,0,0,0
 96-106,0,0,2.19,0,71.04,2.19,1.09,13.11,12.02,0,2.19,41.53,1.09,0,3.28,4.37,0,7.65,0,6.56,2.19,0,2.19,41.53,1.09,3.28,1.09,0,220.76,1.09,0,1.09,0,5.46,34.97,0,0,1.09,1.09
108-118,0,0,1.53,0,59.75,0.77,0,18.38,36.77,0.77,0.77,40.6,0,0,0,6.13,0,4.6,2.3,6.13,3.83,0.77,0,39.06,4.6,1.53,0,0,255.07,0,0,0.77,0,1.53,44.43,0,0,0,0
120,0,0,3.92,0,70.55,0,1.96,9.8,25.48,0,3.92,41.16,0,1.96,0,3.92,1.96,1.96,0,7.84,3.92,1.96,0,39.2,11.76,5.88,0,0,170.5,0,0,0,0,3.92,17.64,0,0,0,0
